"fecha","State","Births"
1983-06-01,"NSW",6779
1983-07-01,"NSW",6921
1983-08-01,"NSW",7133
1983-09-01,"NSW",7030
1983-10-01,"NSW",7001
1983-11-01,"NSW",6332
1983-12-01,"NSW",6599
1984-01-01,"NSW",6870
1984-02-01,"NSW",6684
1984-03-01,"NSW",7422
1984-04-01,"NSW",6970
1984-05-01,"NSW",7167
1984-06-01,"NSW",6919
1984-07-01,"NSW",6945
1984-08-01,"NSW",7105
1984-09-01,"NSW",7024
1984-10-01,"NSW",7215
1984-11-01,"NSW",6649
1984-12-01,"NSW",6927
1985-01-01,"NSW",7122
1985-02-01,"NSW",6573
1985-03-01,"NSW",7523
1985-04-01,"NSW",7000
1985-05-01,"NSW",7135
1985-06-01,"NSW",6853
1985-07-01,"NSW",7141
1985-08-01,"NSW",7211
1985-09-01,"NSW",7231
1985-10-01,"NSW",7508
1985-11-01,"NSW",6709
1985-12-01,"NSW",6762
1986-01-01,"NSW",7002
1986-02-01,"NSW",6559
1986-03-01,"NSW",7111
1986-04-01,"NSW",7125
1986-05-01,"NSW",7237
1986-06-01,"NSW",6860
1986-07-01,"NSW",7270
1986-08-01,"NSW",7089
1986-09-01,"NSW",7244
1986-10-01,"NSW",7449
1986-11-01,"NSW",6497
1986-12-01,"NSW",6922
1987-01-01,"NSW",7014
1987-02-01,"NSW",6828
1987-03-01,"NSW",7672
1987-04-01,"NSW",7091
1987-05-01,"NSW",7203
1987-06-01,"NSW",7091
1987-07-01,"NSW",7288
1987-08-01,"NSW",7050
1987-09-01,"NSW",7386
1987-10-01,"NSW",7096
1987-11-01,"NSW",6821
1987-12-01,"NSW",6956
1988-01-01,"NSW",6999
1988-02-01,"NSW",6816
1988-03-01,"NSW",7745
1988-04-01,"NSW",7040
1988-05-01,"NSW",7369
1988-06-01,"NSW",7058
1988-07-01,"NSW",7083
1988-08-01,"NSW",7488
1988-09-01,"NSW",7774
1988-10-01,"NSW",7504
1988-11-01,"NSW",7002
1988-12-01,"NSW",7402
1989-01-01,"NSW",7082
1989-02-01,"NSW",6642
1989-03-01,"NSW",7313
1989-04-01,"NSW",6901
1989-05-01,"NSW",7610
1989-06-01,"NSW",7368
1989-07-01,"NSW",7436
1989-08-01,"NSW",7740
1989-09-01,"NSW",7705
1989-10-01,"NSW",7770
1989-11-01,"NSW",7216
1989-12-01,"NSW",7235
1990-01-01,"NSW",7349
1990-02-01,"NSW",6866
1990-03-01,"NSW",7717
1990-04-01,"NSW",7443
1990-05-01,"NSW",7617
1990-06-01,"NSW",7423
1990-07-01,"NSW",7609
1990-08-01,"NSW",7751
1990-09-01,"NSW",7871
1990-10-01,"NSW",7913
1990-11-01,"NSW",7368
1990-12-01,"NSW",7260
1991-01-01,"NSW",7334
1991-02-01,"NSW",6861
1991-03-01,"NSW",7712
1991-04-01,"NSW",7534
1991-05-01,"NSW",7644
1991-06-01,"NSW",7334
1991-07-01,"NSW",7524
1991-08-01,"NSW",7746
1991-09-01,"NSW",7488
1991-10-01,"NSW",7625
1991-11-01,"NSW",6886
1991-12-01,"NSW",7178
1992-01-01,"NSW",7700
1992-02-01,"NSW",7309
1992-03-01,"NSW",7843
1992-04-01,"NSW",7510
1992-05-01,"NSW",7643
1992-06-01,"NSW",7563
1992-07-01,"NSW",8021
1992-08-01,"NSW",7678
1992-09-01,"NSW",7924
1992-10-01,"NSW",7880
1992-11-01,"NSW",7066
1992-12-01,"NSW",7242
1993-01-01,"NSW",7428
1993-02-01,"NSW",6958
1993-03-01,"NSW",7913
1993-04-01,"NSW",7413
1993-05-01,"NSW",7543
1993-06-01,"NSW",7499
1993-07-01,"NSW",7624
1993-08-01,"NSW",7505
1993-09-01,"NSW",7682
1993-10-01,"NSW",7556
1993-11-01,"NSW",7063
1993-12-01,"NSW",7463
1994-01-01,"NSW",7558
1994-02-01,"NSW",6949
1994-03-01,"NSW",8232
1994-04-01,"NSW",7278
1994-05-01,"NSW",7509
1994-06-01,"NSW",7194
1994-07-01,"NSW",7629
1994-08-01,"NSW",7656
1994-09-01,"NSW",7821
1994-10-01,"NSW",7608
1994-11-01,"NSW",7077
1994-12-01,"NSW",7406
1995-01-01,"NSW",7345
1995-02-01,"NSW",6947
1995-03-01,"NSW",7898
1995-04-01,"NSW",7155
1995-05-01,"NSW",7786
1995-06-01,"NSW",7358
1995-07-01,"NSW",7661
1995-08-01,"NSW",7764
1995-09-01,"NSW",7580
1995-10-01,"NSW",7490
1995-11-01,"NSW",7096
1995-12-01,"NSW",6979
1996-01-01,"NSW",7246
1996-02-01,"NSW",6939
1996-03-01,"NSW",7396
1996-04-01,"NSW",7086
1996-05-01,"NSW",7476
1996-06-01,"NSW",7182
1996-07-01,"NSW",7471
1996-08-01,"NSW",7589
1996-09-01,"NSW",7715
1996-10-01,"NSW",7785
1996-11-01,"NSW",7520
1996-12-01,"NSW",7647
1997-01-01,"NSW",7638
1997-02-01,"NSW",6771
1997-03-01,"NSW",7466
1997-04-01,"NSW",7132
1997-05-01,"NSW",7414
1997-06-01,"NSW",7360
1997-07-01,"NSW",7589
1997-08-01,"NSW",7442
1997-09-01,"NSW",7801
1997-10-01,"NSW",7892
1997-11-01,"NSW",7002
1997-12-01,"NSW",7098
1998-01-01,"NSW",7185
1998-02-01,"NSW",6649
1998-03-01,"NSW",7546
1998-04-01,"NSW",7213
1998-05-01,"NSW",7177
1998-06-01,"NSW",7185
1998-07-01,"NSW",7619
1998-08-01,"NSW",7278
1998-09-01,"NSW",7537
1998-10-01,"NSW",7523
1998-11-01,"NSW",6796
1998-12-01,"NSW",7179
1999-01-01,"NSW",7365
1999-02-01,"NSW",6839
1999-03-01,"NSW",7688
1999-04-01,"NSW",7323
1999-05-01,"NSW",7221
1999-06-01,"NSW",7446
1999-07-01,"NSW",7544
1999-08-01,"NSW",7536
1999-09-01,"NSW",7624
1999-10-01,"NSW",7271
1999-11-01,"NSW",6851
1999-12-01,"NSW",7117
2000-01-01,"NSW",7528
2000-02-01,"NSW",7060
2000-03-01,"NSW",7658
2000-04-01,"NSW",7097
2000-05-01,"NSW",7651
2000-06-01,"NSW",7218
2000-07-01,"NSW",7276
2000-08-01,"NSW",7625
2000-09-01,"NSW",7444
2000-10-01,"NSW",7696
2000-11-01,"NSW",7094
2000-12-01,"NSW",7068
2001-01-01,"NSW",7245
2001-02-01,"NSW",6783
2001-03-01,"NSW",7719
2001-04-01,"NSW",7116
2001-05-01,"NSW",7219
2001-06-01,"NSW",7226
2001-07-01,"NSW",7303
2001-08-01,"NSW",7521
2001-09-01,"NSW",7485
2001-10-01,"NSW",7464
2001-11-01,"NSW",6845
2001-12-01,"NSW",6682
2002-01-01,"NSW",7332
2002-02-01,"NSW",6893
2002-03-01,"NSW",7552
2002-04-01,"NSW",7078
2002-05-01,"NSW",7440
2002-06-01,"NSW",7006
2002-07-01,"NSW",7392
2002-08-01,"NSW",7395
2002-09-01,"NSW",7500
2002-10-01,"NSW",7735
2002-11-01,"NSW",7016
2002-12-01,"NSW",7095
2003-01-01,"NSW",7142
2003-02-01,"NSW",6651
2003-03-01,"NSW",7421
2003-04-01,"NSW",7150
2003-05-01,"NSW",7485
2003-06-01,"NSW",7372
2003-07-01,"NSW",7521
2003-08-01,"NSW",7476
2003-09-01,"NSW",7667
2003-10-01,"NSW",7747
2003-11-01,"NSW",6708
2003-12-01,"NSW",7133
2004-01-01,"NSW",7436
2004-02-01,"NSW",6829
2004-03-01,"NSW",7611
2004-04-01,"NSW",7216
2004-05-01,"NSW",7125
2004-06-01,"NSW",6584
2004-07-01,"NSW",7494
2004-08-01,"NSW",7161
2004-09-01,"NSW",7535
2004-10-01,"NSW",7301
2004-11-01,"NSW",7057
2004-12-01,"NSW",6841
2005-01-01,"NSW",7221
2005-02-01,"NSW",6874
2005-03-01,"NSW",7956
2005-04-01,"NSW",7703
2005-05-01,"NSW",7627
2005-06-01,"NSW",7500
2005-07-01,"NSW",7769
2005-08-01,"NSW",7721
2005-09-01,"NSW",8041
2005-10-01,"NSW",7895
2005-11-01,"NSW",7287
2005-12-01,"NSW",7462
2006-01-01,"NSW",7332
2006-02-01,"NSW",6570
2006-03-01,"NSW",6870
2006-04-01,"NSW",7493
2006-05-01,"NSW",7871
2006-06-01,"NSW",7430
2006-07-01,"NSW",7975
2006-08-01,"NSW",8164
2006-09-01,"NSW",8162
2006-10-01,"NSW",8205
2006-11-01,"NSW",7655
2006-12-01,"NSW",7570
2007-01-01,"NSW",8096
2007-02-01,"NSW",7478
2007-03-01,"NSW",8426
2007-04-01,"NSW",7890
2007-05-01,"NSW",8382
2007-06-01,"NSW",7950
2007-07-01,"NSW",8163
2007-08-01,"NSW",8271
2007-09-01,"NSW",8144
2007-10-01,"NSW",8350
2007-11-01,"NSW",7697
2007-12-01,"NSW",7437
2008-01-01,"NSW",7978
2008-02-01,"NSW",7628
2008-03-01,"NSW",8275
2008-04-01,"NSW",7811
2008-05-01,"NSW",8051
2008-06-01,"NSW",7646
2008-07-01,"NSW",8639
2008-08-01,"NSW",8233
2008-09-01,"NSW",8065
