"fecha","Type","Count"
2001-08-01,"Abduction and kidnapping",41
2001-09-01,"Abduction and kidnapping",31
2001-10-01,"Abduction and kidnapping",60
2001-11-01,"Abduction and kidnapping",32
2001-12-01,"Abduction and kidnapping",30
2002-01-01,"Abduction and kidnapping",36
2002-02-01,"Abduction and kidnapping",36
2002-03-01,"Abduction and kidnapping",30
2002-04-01,"Abduction and kidnapping",30
2002-05-01,"Abduction and kidnapping",32
2002-06-01,"Abduction and kidnapping",25
2002-07-01,"Abduction and kidnapping",29
2002-08-01,"Abduction and kidnapping",26
2002-09-01,"Abduction and kidnapping",30
2002-10-01,"Abduction and kidnapping",25
2002-11-01,"Abduction and kidnapping",30
2002-12-01,"Abduction and kidnapping",38
2003-01-01,"Abduction and kidnapping",27
2003-02-01,"Abduction and kidnapping",19
2003-03-01,"Abduction and kidnapping",25
2003-04-01,"Abduction and kidnapping",30
2003-05-01,"Abduction and kidnapping",31
2003-06-01,"Abduction and kidnapping",30
2003-07-01,"Abduction and kidnapping",26
2003-08-01,"Abduction and kidnapping",35
2003-09-01,"Abduction and kidnapping",22
2003-10-01,"Abduction and kidnapping",38
2003-11-01,"Abduction and kidnapping",34
2003-12-01,"Abduction and kidnapping",21
2004-01-01,"Abduction and kidnapping",36
2004-02-01,"Abduction and kidnapping",35
2004-03-01,"Abduction and kidnapping",31
2004-04-01,"Abduction and kidnapping",30
2004-05-01,"Abduction and kidnapping",32
2004-06-01,"Abduction and kidnapping",37
2004-07-01,"Abduction and kidnapping",36
2004-08-01,"Abduction and kidnapping",25
2004-09-01,"Abduction and kidnapping",35
2004-10-01,"Abduction and kidnapping",31
2004-11-01,"Abduction and kidnapping",34
2004-12-01,"Abduction and kidnapping",24
2005-01-01,"Abduction and kidnapping",30
2005-02-01,"Abduction and kidnapping",24
2005-03-01,"Abduction and kidnapping",29
2005-04-01,"Abduction and kidnapping",30
2005-05-01,"Abduction and kidnapping",27
2005-06-01,"Abduction and kidnapping",22
2005-07-01,"Abduction and kidnapping",25
2005-08-01,"Abduction and kidnapping",38
2005-09-01,"Abduction and kidnapping",29
2005-10-01,"Abduction and kidnapping",39
2005-11-01,"Abduction and kidnapping",47
2005-12-01,"Abduction and kidnapping",36
2006-01-01,"Abduction and kidnapping",31
2006-02-01,"Abduction and kidnapping",31
2006-03-01,"Abduction and kidnapping",39
2006-04-01,"Abduction and kidnapping",21
2006-05-01,"Abduction and kidnapping",30
2006-06-01,"Abduction and kidnapping",29
2006-07-01,"Abduction and kidnapping",23
2006-08-01,"Abduction and kidnapping",31
2006-09-01,"Abduction and kidnapping",31
2006-10-01,"Abduction and kidnapping",34
2006-11-01,"Abduction and kidnapping",38
2006-12-01,"Abduction and kidnapping",26
2007-01-01,"Abduction and kidnapping",23
2007-02-01,"Abduction and kidnapping",25
2007-03-01,"Abduction and kidnapping",39
2007-04-01,"Abduction and kidnapping",24
2007-05-01,"Abduction and kidnapping",38
2007-06-01,"Abduction and kidnapping",24
2007-07-01,"Abduction and kidnapping",28
2007-08-01,"Abduction and kidnapping",36
2007-09-01,"Abduction and kidnapping",28
2007-10-01,"Abduction and kidnapping",25
2007-11-01,"Abduction and kidnapping",24
2007-12-01,"Abduction and kidnapping",27
2008-01-01,"Abduction and kidnapping",19
2008-02-01,"Abduction and kidnapping",30
2008-03-01,"Abduction and kidnapping",46
2008-04-01,"Abduction and kidnapping",25
2008-05-01,"Abduction and kidnapping",38
2008-06-01,"Abduction and kidnapping",27
2008-07-01,"Abduction and kidnapping",19
2008-08-01,"Abduction and kidnapping",26
2008-09-01,"Abduction and kidnapping",47
2008-10-01,"Abduction and kidnapping",52
2008-11-01,"Abduction and kidnapping",34
2008-12-01,"Abduction and kidnapping",37
2009-01-01,"Abduction and kidnapping",25
2009-02-01,"Abduction and kidnapping",29
2009-03-01,"Abduction and kidnapping",43
2009-04-01,"Abduction and kidnapping",21
2009-05-01,"Abduction and kidnapping",24
2009-06-01,"Abduction and kidnapping",25
2009-07-01,"Abduction and kidnapping",30
2009-08-01,"Abduction and kidnapping",27
2009-09-01,"Abduction and kidnapping",40
2009-10-01,"Abduction and kidnapping",20
2009-11-01,"Abduction and kidnapping",27
2009-12-01,"Abduction and kidnapping",19
2010-01-01,"Abduction and kidnapping",24
2010-02-01,"Abduction and kidnapping",19
2010-03-01,"Abduction and kidnapping",23
2010-04-01,"Abduction and kidnapping",18
2010-05-01,"Abduction and kidnapping",25
2010-06-01,"Abduction and kidnapping",32
2010-07-01,"Abduction and kidnapping",26
2010-08-01,"Abduction and kidnapping",30
2010-09-01,"Abduction and kidnapping",18
2010-10-01,"Abduction and kidnapping",26
2010-11-01,"Abduction and kidnapping",26
2010-12-01,"Abduction and kidnapping",29
2011-01-01,"Abduction and kidnapping",20
2011-02-01,"Abduction and kidnapping",26
2011-03-01,"Abduction and kidnapping",43
2011-04-01,"Abduction and kidnapping",26
2011-05-01,"Abduction and kidnapping",44
2011-06-01,"Abduction and kidnapping",36
2011-07-01,"Abduction and kidnapping",24
2011-08-01,"Abduction and kidnapping",36
2011-09-01,"Abduction and kidnapping",31
2011-10-01,"Abduction and kidnapping",25
2011-11-01,"Abduction and kidnapping",33
2011-12-01,"Abduction and kidnapping",39
2012-01-01,"Abduction and kidnapping",23
2012-02-01,"Abduction and kidnapping",27
2012-03-01,"Abduction and kidnapping",23
2012-04-01,"Abduction and kidnapping",26
2012-05-01,"Abduction and kidnapping",31
2012-06-01,"Abduction and kidnapping",20
2012-07-01,"Abduction and kidnapping",20
2012-08-01,"Abduction and kidnapping",41
2012-09-01,"Abduction and kidnapping",28
2012-10-01,"Abduction and kidnapping",26
2012-11-01,"Abduction and kidnapping",32
2012-12-01,"Abduction and kidnapping",27
2013-01-01,"Abduction and kidnapping",18
2013-02-01,"Abduction and kidnapping",18
2013-03-01,"Abduction and kidnapping",29
2013-04-01,"Abduction and kidnapping",22
2013-05-01,"Abduction and kidnapping",22
2013-06-01,"Abduction and kidnapping",23
2013-07-01,"Abduction and kidnapping",28
2013-08-01,"Abduction and kidnapping",23
2013-09-01,"Abduction and kidnapping",24
2013-10-01,"Abduction and kidnapping",19
2013-11-01,"Abduction and kidnapping",21
2013-12-01,"Abduction and kidnapping",17
2014-01-01,"Abduction and kidnapping",28
2014-02-01,"Abduction and kidnapping",31
2014-03-01,"Abduction and kidnapping",32
2014-04-01,"Abduction and kidnapping",19
2014-05-01,"Abduction and kidnapping",27
2014-06-01,"Abduction and kidnapping",23
2014-07-01,"Abduction and kidnapping",21
2014-08-01,"Abduction and kidnapping",15
2014-09-01,"Abduction and kidnapping",25
2014-10-01,"Abduction and kidnapping",17
2014-11-01,"Abduction and kidnapping",34
2014-12-01,"Abduction and kidnapping",17
2015-01-01,"Abduction and kidnapping",27
2015-02-01,"Abduction and kidnapping",22
2015-03-01,"Abduction and kidnapping",26
2015-04-01,"Abduction and kidnapping",13
2015-05-01,"Abduction and kidnapping",24
2015-06-01,"Abduction and kidnapping",23
2015-07-01,"Abduction and kidnapping",14
2015-08-01,"Abduction and kidnapping",22
2015-09-01,"Abduction and kidnapping",24
2015-10-01,"Abduction and kidnapping",12
2015-11-01,"Abduction and kidnapping",25
2015-12-01,"Abduction and kidnapping",20
2016-01-01,"Abduction and kidnapping",26
2016-02-01,"Abduction and kidnapping",22
2016-03-01,"Abduction and kidnapping",19
2016-04-01,"Abduction and kidnapping",18
2016-05-01,"Abduction and kidnapping",22
2016-06-01,"Abduction and kidnapping",28
2016-07-01,"Abduction and kidnapping",23
2016-08-01,"Abduction and kidnapping",12
2016-09-01,"Abduction and kidnapping",23
2016-10-01,"Abduction and kidnapping",13
2016-11-01,"Abduction and kidnapping",19
2016-12-01,"Abduction and kidnapping",13
2017-01-01,"Abduction and kidnapping",19
2017-02-01,"Abduction and kidnapping",22
2017-03-01,"Abduction and kidnapping",18
2017-04-01,"Abduction and kidnapping",18
2017-05-01,"Abduction and kidnapping",21
2017-06-01,"Abduction and kidnapping",22
2017-07-01,"Abduction and kidnapping",11
2017-08-01,"Abduction and kidnapping",24
2017-09-01,"Abduction and kidnapping",21
2017-10-01,"Abduction and kidnapping",12
2017-11-01,"Abduction and kidnapping",11
2017-12-01,"Abduction and kidnapping",22
2018-01-01,"Abduction and kidnapping",18
2018-02-01,"Abduction and kidnapping",16
2018-03-01,"Abduction and kidnapping",16
2018-04-01,"Abduction and kidnapping",19
2018-05-01,"Abduction and kidnapping",16
2018-06-01,"Abduction and kidnapping",16
2018-07-01,"Abduction and kidnapping",16
2018-08-01,"Abduction and kidnapping",12
2018-09-01,"Abduction and kidnapping",21
2018-10-01,"Abduction and kidnapping",17
2018-11-01,"Abduction and kidnapping",18
2018-12-01,"Abduction and kidnapping",22
2019-01-01,"Abduction and kidnapping",14
2019-02-01,"Abduction and kidnapping",16
2019-03-01,"Abduction and kidnapping",21
2019-04-01,"Abduction and kidnapping",21
2019-05-01,"Abduction and kidnapping",19
2019-06-01,"Abduction and kidnapping",16
2019-07-01,"Abduction and kidnapping",8
2019-08-01,"Abduction and kidnapping",17
2019-09-01,"Abduction and kidnapping",13
2019-10-01,"Abduction and kidnapping",18
2019-11-01,"Abduction and kidnapping",29
2019-12-01,"Abduction and kidnapping",17
2020-01-01,"Abduction and kidnapping",20
2020-02-01,"Abduction and kidnapping",12
2020-03-01,"Abduction and kidnapping",9
2020-04-01,"Abduction and kidnapping",13
2020-05-01,"Abduction and kidnapping",18
2020-06-01,"Abduction and kidnapping",19
2020-07-01,"Abduction and kidnapping",15
2020-08-01,"Abduction and kidnapping",12
2020-09-01,"Abduction and kidnapping",17
2020-10-01,"Abduction and kidnapping",22
2020-11-01,"Abduction and kidnapping",27
2020-12-01,"Abduction and kidnapping",18
2021-01-01,"Abduction and kidnapping",22
2021-02-01,"Abduction and kidnapping",15
2021-03-01,"Abduction and kidnapping",24
2021-04-01,"Abduction and kidnapping",17
2021-05-01,"Abduction and kidnapping",25
2021-06-01,"Abduction and kidnapping",20
2021-07-01,"Abduction and kidnapping",12
2021-08-01,"Abduction and kidnapping",11
2021-09-01,"Abduction and kidnapping",10
2021-10-01,"Abduction and kidnapping",21
2021-11-01,"Abduction and kidnapping",15
2021-12-01,"Abduction and kidnapping",15
2022-01-01,"Abduction and kidnapping",12
2022-02-01,"Abduction and kidnapping",19
2022-03-01,"Abduction and kidnapping",23
2022-04-01,"Abduction and kidnapping",21
2022-05-01,"Abduction and kidnapping",9
2022-06-01,"Abduction and kidnapping",15
2022-07-01,"Abduction and kidnapping",20
2022-08-01,"Abduction and kidnapping",23
2022-09-01,"Abduction and kidnapping",14
2022-10-01,"Abduction and kidnapping",16
2022-11-01,"Abduction and kidnapping",12
2022-12-01,"Abduction and kidnapping",18
2023-01-01,"Abduction and kidnapping",19
2023-02-01,"Abduction and kidnapping",24
2023-03-01,"Abduction and kidnapping",14
2023-04-01,"Abduction and kidnapping",24
2023-05-01,"Abduction and kidnapping",22
2023-06-01,"Abduction and kidnapping",29
2023-07-01,"Abduction and kidnapping",27
2023-08-01,"Abduction and kidnapping",17
2023-09-01,"Abduction and kidnapping",28
2023-10-01,"Abduction and kidnapping",21
2023-11-01,"Abduction and kidnapping",21
2023-12-01,"Abduction and kidnapping",23
1995-01-01,"Against justice procedures",1276
1995-02-01,"Against justice procedures",1168
1995-03-01,"Against justice procedures",1330
1995-04-01,"Against justice procedures",1187
1995-05-01,"Against justice procedures",1279
1995-06-01,"Against justice procedures",1223
1995-07-01,"Against justice procedures",1243
1995-08-01,"Against justice procedures",1267
1995-09-01,"Against justice procedures",1346
1995-10-01,"Against justice procedures",1363
1995-11-01,"Against justice procedures",1437
1995-12-01,"Against justice procedures",1504
1996-01-01,"Against justice procedures",1724
1996-02-01,"Against justice procedures",1565
1996-03-01,"Against justice procedures",1591
1996-04-01,"Against justice procedures",1707
1996-05-01,"Against justice procedures",1704
1996-06-01,"Against justice procedures",1602
1996-07-01,"Against justice procedures",1673
1996-08-01,"Against justice procedures",1754
1996-09-01,"Against justice procedures",1738
1996-10-01,"Against justice procedures",1831
1996-11-01,"Against justice procedures",1838
1996-12-01,"Against justice procedures",2034
1997-01-01,"Against justice procedures",2198
1997-02-01,"Against justice procedures",1879
1997-03-01,"Against justice procedures",2026
1997-04-01,"Against justice procedures",1794
1997-05-01,"Against justice procedures",1744
1997-06-01,"Against justice procedures",1643
1997-07-01,"Against justice procedures",1588
1997-08-01,"Against justice procedures",1693
1997-09-01,"Against justice procedures",1737
1997-10-01,"Against justice procedures",1590
1997-11-01,"Against justice procedures",1714
1997-12-01,"Against justice procedures",1964
1998-01-01,"Against justice procedures",2192
1998-02-01,"Against justice procedures",1807
1998-03-01,"Against justice procedures",1943
1998-04-01,"Against justice procedures",1729
1998-05-01,"Against justice procedures",1867
1998-06-01,"Against justice procedures",1630
1998-07-01,"Against justice procedures",1696
1998-08-01,"Against justice procedures",1797
1998-09-01,"Against justice procedures",2027
1998-10-01,"Against justice procedures",2080
1998-11-01,"Against justice procedures",2000
1998-12-01,"Against justice procedures",2224
1999-01-01,"Against justice procedures",2316
1999-02-01,"Against justice procedures",2039
1999-03-01,"Against justice procedures",2301
1999-04-01,"Against justice procedures",1986
1999-05-01,"Against justice procedures",2001
1999-06-01,"Against justice procedures",1982
1999-07-01,"Against justice procedures",2068
1999-08-01,"Against justice procedures",2074
1999-09-01,"Against justice procedures",2048
1999-10-01,"Against justice procedures",2131
1999-11-01,"Against justice procedures",2042
1999-12-01,"Against justice procedures",2112
2000-01-01,"Against justice procedures",2511
2000-02-01,"Against justice procedures",2266
2000-03-01,"Against justice procedures",2267
2000-04-01,"Against justice procedures",2116
2000-05-01,"Against justice procedures",2042
2000-06-01,"Against justice procedures",2113
2000-07-01,"Against justice procedures",2112
2000-08-01,"Against justice procedures",2092
2000-09-01,"Against justice procedures",2016
2000-10-01,"Against justice procedures",2139
2000-11-01,"Against justice procedures",2402
2000-12-01,"Against justice procedures",2558
2001-01-01,"Against justice procedures",2767
2001-02-01,"Against justice procedures",2496
2001-03-01,"Against justice procedures",2615
2001-04-01,"Against justice procedures",2410
2001-05-01,"Against justice procedures",2391
2001-06-01,"Against justice procedures",2425
2001-07-01,"Against justice procedures",2423
2001-08-01,"Against justice procedures",2749
2001-09-01,"Against justice procedures",2714
2001-10-01,"Against justice procedures",2792
2001-11-01,"Against justice procedures",2589
2001-12-01,"Against justice procedures",2961
2002-01-01,"Against justice procedures",3186
2002-02-01,"Against justice procedures",2599
2002-03-01,"Against justice procedures",2701
2002-04-01,"Against justice procedures",2607
2002-05-01,"Against justice procedures",2612
2002-06-01,"Against justice procedures",2526
2002-07-01,"Against justice procedures",2336
2002-08-01,"Against justice procedures",2545
2002-09-01,"Against justice procedures",2640
2002-10-01,"Against justice procedures",2771
2002-11-01,"Against justice procedures",2779
2002-12-01,"Against justice procedures",3080
2003-01-01,"Against justice procedures",3206
2003-02-01,"Against justice procedures",2832
2003-03-01,"Against justice procedures",2980
2003-04-01,"Against justice procedures",2612
2003-05-01,"Against justice procedures",2710
2003-06-01,"Against justice procedures",2609
2003-07-01,"Against justice procedures",2319
2003-08-01,"Against justice procedures",2301
2003-09-01,"Against justice procedures",2274
2003-10-01,"Against justice procedures",2358
2003-11-01,"Against justice procedures",2377
2003-12-01,"Against justice procedures",2611
2004-01-01,"Against justice procedures",2843
2004-02-01,"Against justice procedures",2589
2004-03-01,"Against justice procedures",2590
2004-04-01,"Against justice procedures",2389
2004-05-01,"Against justice procedures",2358
2004-06-01,"Against justice procedures",2279
2004-07-01,"Against justice procedures",2319
2004-08-01,"Against justice procedures",2439
2004-09-01,"Against justice procedures",2378
2004-10-01,"Against justice procedures",2622
2004-11-01,"Against justice procedures",2614
2004-12-01,"Against justice procedures",2881
2005-01-01,"Against justice procedures",3008
2005-02-01,"Against justice procedures",2692
2005-03-01,"Against justice procedures",2753
2005-04-01,"Against justice procedures",2561
2005-05-01,"Against justice procedures",2586
2005-06-01,"Against justice procedures",2388
2005-07-01,"Against justice procedures",2488
2005-08-01,"Against justice procedures",2393
2005-09-01,"Against justice procedures",2332
2005-10-01,"Against justice procedures",2836
2005-11-01,"Against justice procedures",2561
2005-12-01,"Against justice procedures",2766
2006-01-01,"Against justice procedures",2918
2006-02-01,"Against justice procedures",2956
2006-03-01,"Against justice procedures",3051
2006-04-01,"Against justice procedures",2693
2006-05-01,"Against justice procedures",2741
2006-06-01,"Against justice procedures",2590
2006-07-01,"Against justice procedures",2681
2006-08-01,"Against justice procedures",2644
2006-09-01,"Against justice procedures",2810
2006-10-01,"Against justice procedures",3095
2006-11-01,"Against justice procedures",2973
2006-12-01,"Against justice procedures",3571
2007-01-01,"Against justice procedures",3373
2007-02-01,"Against justice procedures",2970
2007-03-01,"Against justice procedures",3388
2007-04-01,"Against justice procedures",3295
2007-05-01,"Against justice procedures",3209
2007-06-01,"Against justice procedures",2892
2007-07-01,"Against justice procedures",2946
2007-08-01,"Against justice procedures",3337
2007-09-01,"Against justice procedures",3186
2007-10-01,"Against justice procedures",3263
2007-11-01,"Against justice procedures",3448
2007-12-01,"Against justice procedures",4010
2008-01-01,"Against justice procedures",3790
2008-02-01,"Against justice procedures",3757
2008-03-01,"Against justice procedures",4015
2008-04-01,"Against justice procedures",3377
2008-05-01,"Against justice procedures",3672
2008-06-01,"Against justice procedures",3664
2008-07-01,"Against justice procedures",3596
2008-08-01,"Against justice procedures",3530
2008-09-01,"Against justice procedures",3777
2008-10-01,"Against justice procedures",3835
2008-11-01,"Against justice procedures",3770
2008-12-01,"Against justice procedures",4078
2009-01-01,"Against justice procedures",4565
2009-02-01,"Against justice procedures",3787
2009-03-01,"Against justice procedures",4017
2009-04-01,"Against justice procedures",3770
2009-05-01,"Against justice procedures",3523
2009-06-01,"Against justice procedures",3462
2009-07-01,"Against justice procedures",3580
2009-08-01,"Against justice procedures",3695
2009-09-01,"Against justice procedures",3885
2009-10-01,"Against justice procedures",3948
2009-11-01,"Against justice procedures",3900
2009-12-01,"Against justice procedures",4172
2010-01-01,"Against justice procedures",4444
2010-02-01,"Against justice procedures",3779
2010-03-01,"Against justice procedures",4362
2010-04-01,"Against justice procedures",3814
2010-05-01,"Against justice procedures",3677
2010-06-01,"Against justice procedures",3751
2010-07-01,"Against justice procedures",3783
2010-08-01,"Against justice procedures",3695
2010-09-01,"Against justice procedures",3819
2010-10-01,"Against justice procedures",4179
2010-11-01,"Against justice procedures",3908
2010-12-01,"Against justice procedures",4745
2011-01-01,"Against justice procedures",4797
2011-02-01,"Against justice procedures",4309
2011-03-01,"Against justice procedures",4802
2011-04-01,"Against justice procedures",4626
2011-05-01,"Against justice procedures",4321
2011-06-01,"Against justice procedures",4547
2011-07-01,"Against justice procedures",4199
2011-08-01,"Against justice procedures",4082
2011-09-01,"Against justice procedures",4264
2011-10-01,"Against justice procedures",4606
2011-11-01,"Against justice procedures",4045
2011-12-01,"Against justice procedures",4659
2012-01-01,"Against justice procedures",4643
2012-02-01,"Against justice procedures",4102
2012-03-01,"Against justice procedures",4200
2012-04-01,"Against justice procedures",4236
2012-05-01,"Against justice procedures",4159
2012-06-01,"Against justice procedures",4066
2012-07-01,"Against justice procedures",4034
2012-08-01,"Against justice procedures",3823
2012-09-01,"Against justice procedures",4179
2012-10-01,"Against justice procedures",4402
2012-11-01,"Against justice procedures",4536
2012-12-01,"Against justice procedures",4758
2013-01-01,"Against justice procedures",4826
2013-02-01,"Against justice procedures",4268
2013-03-01,"Against justice procedures",4793
2013-04-01,"Against justice procedures",4475
2013-05-01,"Against justice procedures",4463
2013-06-01,"Against justice procedures",4395
2013-07-01,"Against justice procedures",4051
2013-08-01,"Against justice procedures",4327
2013-09-01,"Against justice procedures",4227
2013-10-01,"Against justice procedures",4519
2013-11-01,"Against justice procedures",4393
2013-12-01,"Against justice procedures",4948
2014-01-01,"Against justice procedures",4823
2014-02-01,"Against justice procedures",4216
2014-03-01,"Against justice procedures",4913
2014-04-01,"Against justice procedures",4338
2014-05-01,"Against justice procedures",4299
2014-06-01,"Against justice procedures",4087
2014-07-01,"Against justice procedures",4104
2014-08-01,"Against justice procedures",4681
2014-09-01,"Against justice procedures",3965
2014-10-01,"Against justice procedures",4615
2014-11-01,"Against justice procedures",4625
2014-12-01,"Against justice procedures",5115
2015-01-01,"Against justice procedures",5496
2015-02-01,"Against justice procedures",4576
2015-03-01,"Against justice procedures",5156
2015-04-01,"Against justice procedures",4650
2015-05-01,"Against justice procedures",4940
2015-06-01,"Against justice procedures",4653
2015-07-01,"Against justice procedures",4707
2015-08-01,"Against justice procedures",4977
2015-09-01,"Against justice procedures",4813
2015-10-01,"Against justice procedures",5008
2015-11-01,"Against justice procedures",4821
2015-12-01,"Against justice procedures",5375
2016-01-01,"Against justice procedures",5966
2016-02-01,"Against justice procedures",5253
2016-03-01,"Against justice procedures",5698
2016-04-01,"Against justice procedures",5415
2016-05-01,"Against justice procedures",5347
2016-06-01,"Against justice procedures",5046
2016-07-01,"Against justice procedures",5051
2016-08-01,"Against justice procedures",5208
2016-09-01,"Against justice procedures",5406
2016-10-01,"Against justice procedures",5476
2016-11-01,"Against justice procedures",5722
2016-12-01,"Against justice procedures",6247
2017-01-01,"Against justice procedures",6041
2017-02-01,"Against justice procedures",5069
2017-03-01,"Against justice procedures",5535
2017-04-01,"Against justice procedures",5191
2017-05-01,"Against justice procedures",5303
2017-06-01,"Against justice procedures",5231
2017-07-01,"Against justice procedures",4992
2017-08-01,"Against justice procedures",5075
2017-09-01,"Against justice procedures",4929
2017-10-01,"Against justice procedures",5320
2017-11-01,"Against justice procedures",5220
2017-12-01,"Against justice procedures",6168
2018-01-01,"Against justice procedures",6035
2018-02-01,"Against justice procedures",5672
2018-03-01,"Against justice procedures",5835
2018-04-01,"Against justice procedures",5415
2018-05-01,"Against justice procedures",5260
2018-06-01,"Against justice procedures",5098
2018-07-01,"Against justice procedures",4892
2018-08-01,"Against justice procedures",5175
2018-09-01,"Against justice procedures",5229
2018-10-01,"Against justice procedures",5522
2018-11-01,"Against justice procedures",5519
2018-12-01,"Against justice procedures",6449
2019-01-01,"Against justice procedures",6682
2019-02-01,"Against justice procedures",5772
2019-03-01,"Against justice procedures",6136
2019-04-01,"Against justice procedures",5985
2019-05-01,"Against justice procedures",6051
2019-06-01,"Against justice procedures",6032
2019-07-01,"Against justice procedures",5947
2019-08-01,"Against justice procedures",6274
2019-09-01,"Against justice procedures",5871
2019-10-01,"Against justice procedures",6626
2019-11-01,"Against justice procedures",6146
2019-12-01,"Against justice procedures",7057
2020-01-01,"Against justice procedures",6816
2020-02-01,"Against justice procedures",6521
2020-03-01,"Against justice procedures",7050
2020-04-01,"Against justice procedures",6887
2020-05-01,"Against justice procedures",6987
2020-06-01,"Against justice procedures",6607
2020-07-01,"Against justice procedures",6383
2020-08-01,"Against justice procedures",6397
2020-09-01,"Against justice procedures",6141
2020-10-01,"Against justice procedures",6450
2020-11-01,"Against justice procedures",6426
2020-12-01,"Against justice procedures",7401
2021-01-01,"Against justice procedures",7048
2021-02-01,"Against justice procedures",6705
2021-03-01,"Against justice procedures",6976
2021-04-01,"Against justice procedures",6911
2021-05-01,"Against justice procedures",6552
2021-06-01,"Against justice procedures",6482
2021-07-01,"Against justice procedures",6081
2021-08-01,"Against justice procedures",6566
2021-09-01,"Against justice procedures",6483
2021-10-01,"Against justice procedures",7024
2021-11-01,"Against justice procedures",7249
2021-12-01,"Against justice procedures",6953
2022-01-01,"Against justice procedures",7635
2022-02-01,"Against justice procedures",6598
2022-03-01,"Against justice procedures",7388
2022-04-01,"Against justice procedures",6930
2022-05-01,"Against justice procedures",7105
2022-06-01,"Against justice procedures",6759
2022-07-01,"Against justice procedures",7046
2022-08-01,"Against justice procedures",7228
2022-09-01,"Against justice procedures",6591
2022-10-01,"Against justice procedures",7148
2022-11-01,"Against justice procedures",6830
2022-12-01,"Against justice procedures",7882
2023-01-01,"Against justice procedures",7607
2023-02-01,"Against justice procedures",6988
2023-03-01,"Against justice procedures",7600
2023-04-01,"Against justice procedures",6924
2023-05-01,"Against justice procedures",7064
2023-06-01,"Against justice procedures",7059
2023-07-01,"Against justice procedures",6730
2023-08-01,"Against justice procedures",7159
2023-09-01,"Against justice procedures",6943
2023-10-01,"Against justice procedures",7113
2023-11-01,"Against justice procedures",7223
2023-12-01,"Against justice procedures",7673
1995-01-01,"Arson",268
1995-02-01,"Arson",198
1995-03-01,"Arson",209
1995-04-01,"Arson",252
