"fecha","Event","Champion","Country","Time"
2013-01-01,"Men's open division","Lelisa Desisa","Ethiopia",7822
2014-01-01,"Men's open division","Mebrahtom ""Meb"" Keflezighi","United States",7717
2015-01-01,"Men's open division","Lelisa Desisa","Ethiopia",7757
2016-01-01,"Men's open division","Lemi Berhanu","Ethiopia",7965
2017-01-01,"Men's open division","Geoffrey Kirui","Kenya",7777
2018-01-01,"Men's open division","Yuki Kawauchi","Japan",8158
2019-01-01,"Men's open division","Lawrence Cherono","Kenya",7677
1975-01-01,"Men's wheelchair","Robert Hall","United States",10680
1976-01-01,"Men's wheelchair","No Contestants","",
1977-01-01,"Men's wheelchair","Robert Hall","United States",9618
1978-01-01,"Men's wheelchair","George Murray","United States",8817
1979-01-01,"Men's wheelchair","Kenneth Archer","United States",9539
1980-01-01,"Men's wheelchair","Curt Brinkman","United States",6900
1981-01-01,"Men's wheelchair","Jim Martinson","United States",7241
1982-01-01,"Men's wheelchair","Jim Knaub","United States",6691
1983-01-01,"Men's wheelchair","Jim Knaub","United States",6430
1984-01-01,"Men's wheelchair","Andre Viger","Canada",7520
1985-01-01,"Men's wheelchair","George Murray","United States",6334
1986-01-01,"Men's wheelchair","Andre Viger","Canada",6205
1987-01-01,"Men's wheelchair","Andre Viger","Canada",6942
1988-01-01,"Men's wheelchair","Mustapha Badid","France",6199
1989-01-01,"Men's wheelchair","Philippe Couprie","France",5764
1990-01-01,"Men's wheelchair","Mustapha Badid","France",5393
1991-01-01,"Men's wheelchair","Jim Knaub","United States",5444
1992-01-01,"Men's wheelchair","Jim Knaub","United States",5188
1993-01-01,"Men's wheelchair","Jim Knaub","United States",4937
1994-01-01,"Men's wheelchair","Heinz Frei","Switzerland",4883
1995-01-01,"Men's wheelchair","Franz Nietlispach","Switzerland",5159
1996-01-01,"Men's wheelchair","Heinz Frei","Switzerland",5414
1997-01-01,"Men's wheelchair","Franz Nietlispach","Switzerland",5294
1998-01-01,"Men's wheelchair","Franz Nietlispach","Switzerland",4912
1999-01-01,"Men's wheelchair","Franz Nietlispach","Switzerland",4896
2000-01-01,"Men's wheelchair","Franz Nietlispach","Switzerland",5612
2001-01-01,"Men's wheelchair","Ernst Van Dyk","South Africa",5112
2002-01-01,"Men's wheelchair","Ernst Van Dyk","South Africa",4999
2003-01-01,"Men's wheelchair","Ernst Van Dyk","South Africa",5312
2004-01-01,"Men's wheelchair","Ernst Van Dyk","South Africa",4707
2005-01-01,"Men's wheelchair","Ernst Van Dyk","South Africa",5051
2006-01-01,"Men's wheelchair","Ernst Van Dyk","South Africa",5129
2007-01-01,"Men's wheelchair","Masazumi Soejima","Japan",5356
2008-01-01,"Men's wheelchair","Ernst Van Dyk","South Africa",5209
2009-01-01,"Men's wheelchair","Ernst Van Dyk","South Africa",5609
2010-01-01,"Men's wheelchair","Ernst Van Dyk","South Africa",5213
2011-01-01,"Men's wheelchair","Masazumi Soejima","Japan",4730
2012-01-01,"Men's wheelchair","Joshua Cassidy","Canada",4705
2013-01-01,"Men's wheelchair","Hiroyuki Yamamoto","Japan",5065
2014-01-01,"Men's wheelchair","Ernst Van Dyk","South Africa",4836
2015-01-01,"Men's wheelchair","Marcel Hug","Switzerland",5393
2016-01-01,"Men's wheelchair","Marcel Hug","Switzerland",5046
2017-01-01,"Men's wheelchair","Marcel Hug","Switzerland",4684
2018-01-01,"Men's wheelchair","Marcel Hug","Switzerland",6386
2019-01-01,"Men's wheelchair","Daniel Romanchuk","United States",4896
1972-01-01,"Women's open champion","Nina Kuscsik","United States",11426
1973-01-01,"Women's open champion","Jacqueline A. Hansen","United States",11159
1974-01-01,"Women's open champion","Michiko (Miki) Gorman","United States",10031
1975-01-01,"Women's open champion","Liane Winter","Germany",9744
1976-01-01,"Women's open champion","Kim Merritt","United States",10030
1977-01-01,"Women's open champion","Michiko (Miki) Gorman","United States",10113
1978-01-01,"Women's open champion","Gayle S. Barron","United States",9892
1979-01-01,"Women's open champion","Joan Benoit","United States",9315
1980-01-01,"Women's open champion","Jacqueline Gareau","Canada",9268
1981-01-01,"Women's open champion","Allison Roe","New Zealand",8806
1982-01-01,"Women's open champion","Charlotte Teske","Germany",8973
1983-01-01,"Women's open champion","Joan Benoit","United States",8563
1984-01-01,"Women's open champion","Lorraine Moller","New Zealand",8968
1985-01-01,"Women's open champion","Lisa Larsen-Weidenbach","United States",9246
1986-01-01,"Women's open champion","Ingrid Kristiansen","Norway",8695
1987-01-01,"Women's open champion","Rosa Mota","Portugal",8721
1988-01-01,"Women's open champion","Rosa Mota","Portugal",8670
1989-01-01,"Women's open champion","Ingrid Kristiansen","Norway",8673
1990-01-01,"Women's open champion","Rosa Mota","Portugal",8724
1991-01-01,"Women's open champion","Wanda Panfil","Poland",8658
1992-01-01,"Women's open champion","Olga Markova","Comm. Ind. States",8623
1993-01-01,"Women's open champion","Olga Markova","Russia",8727
1994-01-01,"Women's open champion","Uta Pippig","Germany",8505
1995-01-01,"Women's open champion","Uta Pippig","Germany",8711
1996-01-01,"Women's open champion","Uta Pippig","Germany",8832
1997-01-01,"Women's open champion","Fatuma Roba","Ethiopia",8783
1998-01-01,"Women's open champion","Fatuma Roba","Ethiopia",8601
1999-01-01,"Women's open champion","Fatuma Roba","Ethiopia",8605
2000-01-01,"Women's open champion","Catherine Ndereba","Kenya",8771
2001-01-01,"Women's open champion","Catherine Ndereba","Kenya",8633
2002-01-01,"Women's open champion","Margaret Okayo","Kenya",8443
2003-01-01,"Women's open champion","Svetlana Zakharova","Russia",8720
2004-01-01,"Women's open champion","Catherine Ndereba","Kenya",8667
2005-01-01,"Women's open champion","Catherine Ndereba","Kenya",8713
2006-01-01,"Women's open champion","Rita Jeptoo","Kenya",8618
2007-01-01,"Women's open champion","Lidiya Grigoryeva","Russia",8958
2008-01-01,"Women's open champion","Dire Tune","Ethiopia",8725
2009-01-01,"Women's open champion","Salina Kosgei","Kenya",9136
2010-01-01,"Women's open champion","Teyba Erkesso","Ethiopia",8771
2011-01-01,"Women's open champion","Caroline Kilel","Kenya",8556
2012-01-01,"Women's open champion","Sharon Cherop","Kenya",9110
2013-01-01,"Women's open champion","Rita Jeptoo","Kenya",8785
2014-01-01,"Women's open champion","Buzunesh Deba","Ethiopia",8399
2015-01-01,"Women's open champion","Caroline Rotich","Kenya",8695
2016-01-01,"Women's open champion","Atsede Baysa","Ethiopia",8959
2017-01-01,"Women's open champion","Edna Kiplagat","Kenya",8512
2018-01-01,"Women's open champion","Desiree Linden","United States",9594
2019-01-01,"Women's open champion","Worknesh Degefa","Ethiopia",8611
1966-01-01,"Women's pioneer era","Roberta (Bobbi) Gibb","United States",12100
1967-01-01,"Women's pioneer era","Roberta (Bobbi) Gibb","United States",12437
1968-01-01,"Women's pioneer era","Roberta (Bobbi) Gibb","United States",12600
1969-01-01,"Women's pioneer era","Sara Mae Berman","United States",12166
1970-01-01,"Women's pioneer era","Sara Mae Berman","United States",11107
1971-01-01,"Women's pioneer era","Sara Mae Berman","United States",11310
1977-01-01,"Women's wheelchair","Sharon Rahn","United States",13731
1978-01-01,"Women's wheelchair","Susan Shapiro","United States",13955
1979-01-01,"Women's wheelchair","Sheryl Bair","United States",12476
1980-01-01,"Women's wheelchair","Sharon Limpert","United States",10144
1981-01-01,"Women's wheelchair","Candace Cable","United States",9521
1982-01-01,"Women's wheelchair","Candace Cable-Brookes","United States",7963
1983-01-01,"Women's wheelchair","Sherry Ramsey","United States",8827
1984-01-01,"Women's wheelchair","Sherry Ramsey","United States",10611
1985-01-01,"Women's wheelchair","Candace Cable-Brookes","United States",7526
1986-01-01,"Women's wheelchair","Candace Cable-Brookes","United States",7768
1987-01-01,"Women's wheelchair","Candace Cable-Brookes","United States",8395
1988-01-01,"Women's wheelchair","Candace Cable-Brookes","United States",7844
1989-01-01,"Women's wheelchair","Connie Hansen","Denmark",6606
1990-01-01,"Women's wheelchair","Jean Driscoll","United States",6197
1991-01-01,"Women's wheelchair","Jean Driscoll","United States",6162
1992-01-01,"Women's wheelchair","Jean Driscoll","United States",5812
1993-01-01,"Women's wheelchair","Jean Driscoll","United States",5690
1994-01-01,"Women's wheelchair","Jean Driscoll","United States",5662
1995-01-01,"Women's wheelchair","Jean Driscoll","United States",6042
1996-01-01,"Women's wheelchair","Jean Driscoll","United States",6776
1997-01-01,"Women's wheelchair","Louise Sauvage","Australia",6868
1998-01-01,"Women's wheelchair","Louise Sauvage","Australia",6079
1999-01-01,"Women's wheelchair","Louise Sauvage","Australia",6143
2000-01-01,"Women's wheelchair","Jean Driscoll","United States",7252
2001-01-01,"Women's wheelchair","Louise Sauvage","Australia",6834
2002-01-01,"Women's wheelchair","Edith Hunkeler","Switzerland",6357
2003-01-01,"Women's wheelchair","Christina Ripp","United States",6887
2004-01-01,"Women's wheelchair","Cheri Blauwet","United States",5993
2005-01-01,"Women's wheelchair","Cheri Blauwet","United States",6465
2006-01-01,"Women's wheelchair","Edith Hunkeler","Switzerland",6222
2007-01-01,"Women's wheelchair","Wakako Tsuchida","Japan",6810
2008-01-01,"Women's wheelchair","Wakako Tsuchida","Japan",6512
2009-01-01,"Women's wheelchair","Wakako Tsuchida","Japan",6877
2010-01-01,"Women's wheelchair","Wakako Tsuchida","Japan",6212
2011-01-01,"Women's wheelchair","Wakako Tsuchida","Japan",5646
2012-01-01,"Women's wheelchair","Shirley Reilly","United States",5856
2013-01-01,"Women's wheelchair","Tatyana McFadden","United States",6324
2014-01-01,"Women's wheelchair","Tatyana McFadden","United States",5706
2015-01-01,"Women's wheelchair","Tatyana McFadden","United States",6774
2016-01-01,"Women's wheelchair","Tatyana McFadden","United States",6136
2017-01-01,"Women's wheelchair","Manuela Schar","Switzerland",5297
2018-01-01,"Women's wheelchair","Tatyana McFadden","United States",7479
2019-01-01,"Women's wheelchair","Manuela Schar","Switzerland",5659
