"fecha","State","Expenditure"
2006-07-01,"NSW",3.814
2006-10-01,"NSW",4.188
2007-01-01,"NSW",3.72
2007-04-01,"NSW",3.716
2007-07-01,"NSW",3.646
2007-10-01,"NSW",3.834
2008-01-01,"NSW",3.375
2008-04-01,"NSW",3.489
2008-07-01,"NSW",3.395
2008-10-01,"NSW",3.683
2009-01-01,"NSW",3.231
2009-04-01,"NSW",3.368
2009-07-01,"NSW",3.295
2009-10-01,"NSW",3.521
2010-01-01,"NSW",3.082
2010-04-01,"NSW",3.24
2010-07-01,"NSW",3.05
2010-10-01,"NSW",3.381
2011-01-01,"NSW",2.918
2011-04-01,"NSW",3.001
2011-07-01,"NSW",2.874
2011-10-01,"NSW",3.155
2012-01-01,"NSW",2.798
2012-04-01,"NSW",2.946
2012-07-01,"NSW",2.908
2012-10-01,"NSW",3.033
2013-01-01,"NSW",2.829
2013-04-01,"NSW",2.793
2013-07-01,"NSW",2.854
2013-10-01,"NSW",2.931
2014-01-01,"NSW",2.789
2014-04-01,"NSW",2.635
2014-07-01,"NSW",2.617
2014-10-01,"NSW",2.582
2015-01-01,"NSW",2.467
2015-04-01,"NSW",2.415
2015-07-01,"NSW",2.441
2015-10-01,"NSW",2.432
2016-01-01,"NSW",2.306
2016-04-01,"NSW",2.236
2016-07-01,"NSW",2.204
2016-10-01,"NSW",2.285
2017-01-01,"NSW",2.207
2017-04-01,"NSW",2.185
2017-07-01,"NSW",2.206
2017-10-01,"NSW",2.346
2018-01-01,"NSW",2.259
2018-04-01,"NSW",2.176
2018-07-01,"NSW",2.148
2018-10-01,"NSW",2.21
2019-01-01,"NSW",2.1
2019-04-01,"NSW",2.015
2019-07-01,"NSW",1.966
2019-10-01,"NSW",1.962
2020-01-01,"NSW",1.865
2020-04-01,"NSW",1.745
2020-07-01,"NSW",1.752
2020-10-01,"NSW",1.72
2021-01-01,"NSW",1.654
2021-04-01,"NSW",1.597
2021-07-01,"NSW",1.614
2021-10-01,"NSW",1.627
2022-01-01,"NSW",1.525
2022-04-01,"NSW",1.442
2022-07-01,"NSW",1.415
2022-10-01,"NSW",1.448
2023-01-01,"NSW",1.388
2023-04-01,"NSW",1.332
2023-07-01,"NSW",1.261
2023-10-01,"NSW",1.223
1985-07-01,"NT",0.166
1985-10-01,"NT",0.187
1986-01-01,"NT",0.174
1986-04-01,"NT",0.171
1986-07-01,"NT",0.175
1986-10-01,"NT",0.188
1987-01-01,"NT",0.173
1987-04-01,"NT",0.176
1987-07-01,"NT",0.176
1987-10-01,"NT",0.19
1988-01-01,"NT",0.172
1988-04-01,"NT",0.169
1988-07-01,"NT",0.169
1988-10-01,"NT",0.187
1989-01-01,"NT",0.175
1989-04-01,"NT",0.179
1989-07-01,"NT",0.182
1989-10-01,"NT",0.192
1990-01-01,"NT",0.174
1990-04-01,"NT",0.173
1990-07-01,"NT",0.173
1990-10-01,"NT",0.184
1991-01-01,"NT",0.164
1991-04-01,"NT",0.163
1991-07-01,"NT",0.165
1991-10-01,"NT",0.172
1992-01-01,"NT",0.156
1992-04-01,"NT",0.153
1992-07-01,"NT",0.16
1992-10-01,"NT",0.167
1993-01-01,"NT",0.153
1993-04-01,"NT",0.149
1993-07-01,"NT",0.148
1993-10-01,"NT",0.143
1994-01-01,"NT",0.134
1994-04-01,"NT",0.132
1994-07-01,"NT",0.13
1994-10-01,"NT",0.139
1995-01-01,"NT",0.127
1995-04-01,"NT",0.127
1995-07-01,"NT",0.129
1995-10-01,"NT",0.135
1996-01-01,"NT",0.121
1996-04-01,"NT",0.126
1996-07-01,"NT",0.127
1996-10-01,"NT",0.142
1997-01-01,"NT",0.133
1997-04-01,"NT",0.138
1997-07-01,"NT",0.137
1997-10-01,"NT",0.148
1998-01-01,"NT",0.134
1998-04-01,"NT",0.138
1998-07-01,"NT",0.136
1998-10-01,"NT",0.154
1999-01-01,"NT",0.141
1999-04-01,"NT",0.135
1999-07-01,"NT",0.135
1999-10-01,"NT",0.145
2000-01-01,"NT",0.131
2000-04-01,"NT",0.132
2000-07-01,"NT",0.121
2000-10-01,"NT",0.144
2001-01-01,"NT",0.128
2001-04-01,"NT",0.121
2001-07-01,"NT",0.117
2001-10-01,"NT",0.133
2002-01-01,"NT",0.116
2002-04-01,"NT",0.119
2002-07-01,"NT",0.119
2002-10-01,"NT",0.132
2003-01-01,"NT",0.113
2003-04-01,"NT",0.12
2003-07-01,"NT",0.113
2003-10-01,"NT",0.121
2004-01-01,"NT",0.114
2004-04-01,"NT",0.118
2004-07-01,"NT",0.112
2004-10-01,"NT",0.131
2005-01-01,"NT",0.108
2005-04-01,"NT",0.121
2005-07-01,"NT",0.118
2005-10-01,"NT",0.115
2006-01-01,"NT",0.106
2006-04-01,"NT",0.114
2006-07-01,"NT",0.111
2006-10-01,"NT",0.122
2007-01-01,"NT",0.108
2007-04-01,"NT",0.111
2007-07-01,"NT",0.106
2007-10-01,"NT",0.113
2008-01-01,"NT",0.099
2008-04-01,"NT",0.1
2008-07-01,"NT",0.102
2008-10-01,"NT",0.107
2009-01-01,"NT",0.099
2009-04-01,"NT",0.104
2009-07-01,"NT",0.096
2009-10-01,"NT",0.106
2010-01-01,"NT",0.096
2010-04-01,"NT",0.104
2010-07-01,"NT",0.097
2010-10-01,"NT",0.107
2011-01-01,"NT",0.097
2011-04-01,"NT",0.103
2011-07-01,"NT",0.097
2011-10-01,"NT",0.11
2012-01-01,"NT",0.101
2012-04-01,"NT",0.108
2012-07-01,"NT",0.106
2012-10-01,"NT",0.113
2013-01-01,"NT",0.108
2013-04-01,"NT",0.107
2013-07-01,"NT",0.11
2013-10-01,"NT",0.118
2014-01-01,"NT",0.117
2014-04-01,"NT",0.105
2014-07-01,"NT",0.107
2014-10-01,"NT",0.106
2015-01-01,"NT",0.106
2015-04-01,"NT",0.096
2015-07-01,"NT",0.104
2015-10-01,"NT",0.106
2016-01-01,"NT",0.105
2016-04-01,"NT",0.1
2016-07-01,"NT",0.093
2016-10-01,"NT",0.098
2017-01-01,"NT",0.099
2017-04-01,"NT",0.096
2017-07-01,"NT",0.097
2017-10-01,"NT",0.107
2018-01-01,"NT",0.102
2018-04-01,"NT",0.097
2018-07-01,"NT",0.094
2018-10-01,"NT",0.1
2019-01-01,"NT",0.095
2019-04-01,"NT",0.09
2019-07-01,"NT",0.087
2019-10-01,"NT",0.089
2020-01-01,"NT",0.081
2020-04-01,"NT",0.077
2020-07-01,"NT",0.076
2020-10-01,"NT",0.077
2021-01-01,"NT",0.073
2021-04-01,"NT",0.07
2021-07-01,"NT",0.07
2021-10-01,"NT",0.07
2022-01-01,"NT",0.065
2022-04-01,"NT",0.061
2022-07-01,"NT",0.059
2022-10-01,"NT",0.062
2023-01-01,"NT",0.059
2023-04-01,"NT",0.058
2023-07-01,"NT",0.055
2023-10-01,"NT",0.053
1985-07-01,"QLD",3.764
1985-10-01,"QLD",4.227
1986-01-01,"QLD",3.909
1986-04-01,"QLD",3.888
1986-07-01,"QLD",3.879
1986-10-01,"QLD",4.222
1987-01-01,"QLD",3.949
1987-04-01,"QLD",3.924
1987-07-01,"QLD",3.936
1987-10-01,"QLD",4.274
1988-01-01,"QLD",4.015
1988-04-01,"QLD",3.953
1988-07-01,"QLD",3.964
1988-10-01,"QLD",4.162
1989-01-01,"QLD",3.343
1989-04-01,"QLD",3.358
1989-07-01,"QLD",3.443
1989-10-01,"QLD",3.805
1990-01-01,"QLD",3.562
1990-04-01,"QLD",3.482
1990-07-01,"QLD",3.474
1990-10-01,"QLD",3.879
1991-01-01,"QLD",3.653
1991-04-01,"QLD",3.48
1991-07-01,"QLD",3.592
1991-10-01,"QLD",3.82
1992-01-01,"QLD",3.487
1992-04-01,"QLD",3.336
1992-07-01,"QLD",3.563
1992-10-01,"QLD",3.014
1993-01-01,"QLD",2.886
1993-04-01,"QLD",2.799
1993-07-01,"QLD",2.927
1993-10-01,"QLD",3.109
1994-01-01,"QLD",2.891
1994-04-01,"QLD",2.748
1994-07-01,"QLD",2.779
1994-10-01,"QLD",2.969
1995-01-01,"QLD",2.682
1995-04-01,"QLD",2.687
1995-07-01,"QLD",2.831
1995-10-01,"QLD",2.954
1996-01-01,"QLD",2.695
1996-04-01,"QLD",2.739
1996-07-01,"QLD",2.707
1996-10-01,"QLD",2.746
1997-01-01,"QLD",2.541
1997-04-01,"QLD",2.575
1997-07-01,"QLD",2.562
1997-10-01,"QLD",2.772
1998-01-01,"QLD",2.541
1998-04-01,"QLD",2.541
1998-07-01,"QLD",2.559
1998-10-01,"QLD",2.882
1999-01-01,"QLD",2.654
1999-04-01,"QLD",2.575
1999-07-01,"QLD",2.602
1999-10-01,"QLD",2.834
2000-01-01,"QLD",2.572
2000-04-01,"QLD",2.64
2000-07-01,"QLD",2.371
2000-10-01,"QLD",2.928
2001-01-01,"QLD",2.627
2001-04-01,"QLD",2.527
2001-07-01,"QLD",2.447
2001-10-01,"QLD",2.786
2002-01-01,"QLD",2.517
2002-04-01,"QLD",2.509
2002-07-01,"QLD",2.51
2002-10-01,"QLD",2.849
2003-01-01,"QLD",2.519
2003-04-01,"QLD",2.613
2003-07-01,"QLD",2.506
2003-10-01,"QLD",2.825
2004-01-01,"QLD",2.629
2004-04-01,"QLD",2.648
2004-07-01,"QLD",2.594
2004-10-01,"QLD",3.007
2005-01-01,"QLD",2.57
2005-04-01,"QLD",2.73
2005-07-01,"QLD",2.662
2005-10-01,"QLD",2.835
2006-01-01,"QLD",2.508
2006-04-01,"QLD",2.564
2006-07-01,"QLD",2.579
2006-10-01,"QLD",2.846
2007-01-01,"QLD",2.556
2007-04-01,"QLD",2.535
2007-07-01,"QLD",2.475
2007-10-01,"QLD",2.741
2008-01-01,"QLD",2.405
2008-04-01,"QLD",2.456
2008-07-01,"QLD",2.403
2008-10-01,"QLD",2.669
2009-01-01,"QLD",2.388
2009-04-01,"QLD",2.432
2009-07-01,"QLD",2.372
2009-10-01,"QLD",2.568
2010-01-01,"QLD",2.318
2010-04-01,"QLD",2.367
2010-07-01,"QLD",2.2
2010-10-01,"QLD",2.45
2011-01-01,"QLD",2.149
2011-04-01,"QLD",2.147
2011-07-01,"QLD",2.039
2011-10-01,"QLD",2.263
2012-01-01,"QLD",1.997
2012-04-01,"QLD",2.069
2012-07-01,"QLD",2.013
2012-10-01,"QLD",2.119
2013-01-01,"QLD",1.967
2013-04-01,"QLD",1.922
2013-07-01,"QLD",1.924
2013-10-01,"QLD",1.985
2014-01-01,"QLD",1.91
2014-04-01,"QLD",1.778
2014-07-01,"QLD",1.726
2014-10-01,"QLD",1.737
2015-01-01,"QLD",1.678
2015-04-01,"QLD",1.621
2015-07-01,"QLD",1.582
2015-10-01,"QLD",1.596
2016-01-01,"QLD",1.543
2016-04-01,"QLD",1.477
2016-07-01,"QLD",1.419
2016-10-01,"QLD",1.478
2017-01-01,"QLD",1.463
2017-04-01,"QLD",1.413
2017-07-01,"QLD",1.404
2017-10-01,"QLD",1.491
2018-01-01,"QLD",1.457
2018-04-01,"QLD",1.374
2018-07-01,"QLD",1.365
2018-10-01,"QLD",1.414
2019-01-01,"QLD",1.372
2019-04-01,"QLD",1.298
2019-07-01,"QLD",1.253
2019-10-01,"QLD",1.261
2020-01-01,"QLD",1.217
2020-04-01,"QLD",1.131
2020-07-01,"QLD",1.123
2020-10-01,"QLD",1.124
2021-01-01,"QLD",1.102
2021-04-01,"QLD",1.051
2021-07-01,"QLD",1.047
2021-10-01,"QLD",1.041
2022-01-01,"QLD",0.992
2022-04-01,"QLD",0.922
2022-07-01,"QLD",0.895
2022-10-01,"QLD",0.914
2023-01-01,"QLD",0.889
2023-04-01,"QLD",0.866
2023-07-01,"QLD",0.822
2023-10-01,"QLD",0.793
1985-07-01,"SA",1.792
1985-10-01,"SA",1.983
1986-01-01,"SA",1.844
1986-04-01,"SA",1.828
1986-07-01,"SA",1.834
1986-10-01,"SA",2.002
1987-01-01,"SA",1.88
1987-04-01,"SA",1.842
1987-07-01,"SA",1.862
1987-10-01,"SA",2.017
1988-01-01,"SA",1.894
1988-04-01,"SA",1.823
1988-07-01,"SA",1.811
1988-10-01,"SA",1.982
1989-01-01,"SA",1.883
1989-04-01,"SA",1.861
1989-07-01,"SA",1.922
1989-10-01,"SA",2.074
1990-01-01,"SA",1.949
1990-04-01,"SA",1.937
1990-07-01,"SA",1.874
1990-10-01,"SA",1.867
1991-01-01,"SA",1.728
1991-04-01,"SA",1.645
1991-07-01,"SA",1.704
1991-10-01,"SA",1.805
1992-01-01,"SA",1.674
1992-04-01,"SA",1.646
1992-07-01,"SA",1.525
1992-10-01,"SA",1.664
1993-01-01,"SA",1.574
1993-04-01,"SA",1.389
1993-07-01,"SA",1.39
1993-10-01,"SA",1.475
1994-01-01,"SA",1.347
1994-04-01,"SA",1.283
1994-07-01,"SA",1.344
1994-10-01,"SA",1.4
1995-01-01,"SA",1.273
1995-04-01,"SA",1.241
1995-07-01,"SA",1.299
1995-10-01,"SA",1.344
1996-01-01,"SA",1.228
1996-04-01,"SA",1.247
1996-07-01,"SA",1.259
1996-10-01,"SA",1.393
1997-01-01,"SA",1.29
1997-04-01,"SA",1.303
1997-07-01,"SA",1.277
1997-10-01,"SA",1.385
1998-01-01,"SA",1.273
1998-04-01,"SA",1.288
1998-07-01,"SA",1.295
1998-10-01,"SA",1.436
1999-01-01,"SA",1.326
1999-04-01,"SA",1.333
1999-07-01,"SA",1.319
1999-10-01,"SA",1.401
2000-01-01,"SA",1.252
2000-04-01,"SA",1.288
2000-07-01,"SA",1.19
2000-10-01,"SA",1.41
2001-01-01,"SA",1.244
2001-04-01,"SA",1.234
2001-07-01,"SA",1.206
2001-10-01,"SA",1.337
2002-01-01,"SA",1.199
2002-04-01,"SA",1.214
2002-07-01,"SA",1.204
2002-10-01,"SA",1.339
2003-01-01,"SA",1.158
2003-04-01,"SA",1.182
2003-07-01,"SA",1.138
2003-10-01,"SA",1.279
2004-01-01,"SA",1.164
2004-04-01,"SA",1.161
2004-07-01,"SA",1.18
2004-10-01,"SA",1.38
2005-01-01,"SA",1.178
2005-04-01,"SA",1.222
2005-07-01,"SA",1.232
2005-10-01,"SA",1.357
2006-01-01,"SA",1.154
2006-04-01,"SA",1.193
2006-07-01,"SA",1.197
2006-10-01,"SA",1.336
2007-01-01,"SA",1.184
2007-04-01,"SA",1.203
2007-07-01,"SA",1.179
2007-10-01,"SA",1.288
2008-01-01,"SA",1.118
2008-04-01,"SA",1.167
2008-07-01,"SA",1.148
2008-10-01,"SA",1.295
2009-01-01,"SA",1.131
2009-04-01,"SA",1.177
2009-07-01,"SA",1.145
2009-10-01,"SA",1.24
2010-01-01,"SA",1.096
2010-04-01,"SA",1.136
2010-07-01,"SA",1.053
2010-10-01,"SA",1.163
2011-01-01,"SA",0.998
2011-04-01,"SA",1.018
2011-07-01,"SA",0.971
2011-10-01,"SA",1.08
2012-01-01,"SA",0.936
2012-04-01,"SA",0.976
2012-07-01,"SA",0.953
2012-10-01,"SA",1.002
2013-01-01,"SA",0.918
2013-04-01,"SA",0.902
2013-07-01,"SA",0.913
2013-10-01,"SA",0.943
2014-01-01,"SA",0.892
2014-04-01,"SA",0.835
2014-07-01,"SA",0.821
2014-10-01,"SA",0.816
2015-01-01,"SA",0.775
2015-04-01,"SA",0.757
2015-07-01,"SA",0.755
2015-10-01,"SA",0.761
2016-01-01,"SA",0.715
2016-04-01,"SA",0.69
2016-07-01,"SA",0.68
2016-10-01,"SA",0.707
2017-01-01,"SA",0.689
2017-04-01,"SA",0.678
2017-07-01,"SA",0.67
2017-10-01,"SA",0.705
2018-01-01,"SA",0.678
2018-04-01,"SA",0.651
2018-07-01,"SA",0.64
2018-10-01,"SA",0.661
2019-01-01,"SA",0.632
2019-04-01,"SA",0.605
2019-07-01,"SA",0.591
2019-10-01,"SA",0.598
2020-01-01,"SA",0.559
2020-04-01,"SA",0.527
2020-07-01,"SA",0.512
2020-10-01,"SA",0.498
2021-01-01,"SA",0.481
2021-04-01,"SA",0.47
2021-07-01,"SA",0.465
2021-10-01,"SA",0.478
2022-01-01,"SA",0.46
2022-04-01,"SA",0.436
2022-07-01,"SA",0.426
2022-10-01,"SA",0.443
2023-01-01,"SA",0.43
2023-04-01,"SA",0.421
2023-07-01,"SA",0.402
2023-10-01,"SA",0.393
1985-07-01,"TAS",0.609
1985-10-01,"TAS",0.674
1986-01-01,"TAS",0.627
1986-04-01,"TAS",0.627
1986-07-01,"TAS",0.631
1986-10-01,"TAS",0.683
1987-01-01,"TAS",0.635
1987-04-01,"TAS",0.626
1987-07-01,"TAS",0.597
1987-10-01,"TAS",0.611
1988-01-01,"TAS",0.569
1988-04-01,"TAS",0.56
1988-07-01,"TAS",0.556
1988-10-01,"TAS",0.586
1989-01-01,"TAS",0.545
1989-04-01,"TAS",0.54
1989-07-01,"TAS",0.549
1989-10-01,"TAS",0.596
1990-01-01,"TAS",0.56
1990-04-01,"TAS",0.556
1990-07-01,"TAS",0.552
1990-10-01,"TAS",0.605
1991-01-01,"TAS",0.567
1991-04-01,"TAS",0.54
1991-07-01,"TAS",0.553
1991-10-01,"TAS",0.59
1992-01-01,"TAS",0.541
1992-04-01,"TAS",0.512
1992-07-01,"TAS",0.554
1992-10-01,"TAS",0.606
1993-01-01,"TAS",0.579
1993-04-01,"TAS",0.532
1993-07-01,"TAS",0.436
1993-10-01,"TAS",0.462
1994-01-01,"TAS",0.427
1994-04-01,"TAS",0.415
1994-07-01,"TAS",0.41
1994-10-01,"TAS",0.433
1995-01-01,"TAS",0.393
1995-04-01,"TAS",0.384
1995-07-01,"TAS",0.404
1995-10-01,"TAS",0.419
1996-01-01,"TAS",0.384
1996-04-01,"TAS",0.387
1996-07-01,"TAS",0.389
1996-10-01,"TAS",0.432
1997-01-01,"TAS",0.4
1997-04-01,"TAS",0.404
1997-07-01,"TAS",0.407
1997-10-01,"TAS",0.432
1998-01-01,"TAS",0.394
1998-04-01,"TAS",0.395
1998-07-01,"TAS",0.397
1998-10-01,"TAS",0.438
1999-01-01,"TAS",0.403
1999-04-01,"TAS",0.48
1999-07-01,"TAS",0.481
1999-10-01,"TAS",0.514
2000-01-01,"TAS",0.464
2000-04-01,"TAS",0.476
2000-07-01,"TAS",0.437
2000-10-01,"TAS",0.525
2001-01-01,"TAS",0.475
2001-04-01,"TAS",0.469
2001-07-01,"TAS",0.459
2001-10-01,"TAS",0.512
2002-01-01,"TAS",0.465
2002-04-01,"TAS",0.471
2002-07-01,"TAS",0.47
2002-10-01,"TAS",0.538
2003-01-01,"TAS",0.467
2003-04-01,"TAS",0.477
2003-07-01,"TAS",0.459
2003-10-01,"TAS",0.518
2004-01-01,"TAS",0.471
2004-04-01,"TAS",0.475
2004-07-01,"TAS",0.465
2004-10-01,"TAS",0.543
2005-01-01,"TAS",0.457
2005-04-01,"TAS",0.475
2005-07-01,"TAS",0.471
2005-10-01,"TAS",0.512
2006-01-01,"TAS",0.436
2006-04-01,"TAS",0.451
2006-07-01,"TAS",0.445
2006-10-01,"TAS",0.488
2007-01-01,"TAS",0.431
2007-04-01,"TAS",0.428
2007-07-01,"TAS",0.413
2007-10-01,"TAS",0.445
2008-01-01,"TAS",0.385
2008-04-01,"TAS",0.391
2008-07-01,"TAS",0.387
2008-10-01,"TAS",0.429
2009-01-01,"TAS",0.379
2009-04-01,"TAS",0.388
2009-07-01,"TAS",0.372
2009-10-01,"TAS",0.397
2010-01-01,"TAS",0.344
2010-04-01,"TAS",0.355
2010-07-01,"TAS",0.332
2010-10-01,"TAS",0.368
2011-01-01,"TAS",0.323
2011-04-01,"TAS",0.328
2011-07-01,"TAS",0.314
2011-10-01,"TAS",0.35
2012-01-01,"TAS",0.309
2012-04-01,"TAS",0.324
2012-07-01,"TAS",0.32
2012-10-01,"TAS",0.336
2013-01-01,"TAS",0.313
2013-04-01,"TAS",0.312
2013-07-01,"TAS",0.316
2013-10-01,"TAS",0.332
2014-01-01,"TAS",0.313
2014-04-01,"TAS",0.297
2014-07-01,"TAS",0.295
2014-10-01,"TAS",0.306
2015-01-01,"TAS",0.293
2015-04-01,"TAS",0.286
2015-07-01,"TAS",0.289
2015-10-01,"TAS",0.294
