"fecha","Region","Age","Rate"
2020-01-01,"Australian Capital Territory","15",1.4
2021-01-01,"Australian Capital Territory","15",0
2022-01-01,"Australian Capital Territory","15",1.6
1975-01-01,"New South Wales","15",6.7
1976-01-01,"New South Wales","15",5.5
1977-01-01,"New South Wales","15",4.5
1978-01-01,"New South Wales","15",4.8
1979-01-01,"New South Wales","15",4
1980-01-01,"New South Wales","15",4.6
1981-01-01,"New South Wales","15",3.5
1982-01-01,"New South Wales","15",4.2
1983-01-01,"New South Wales","15",4
1984-01-01,"New South Wales","15",2.9
1985-01-01,"New South Wales","15",3.5
1986-01-01,"New South Wales","15",2.9
1987-01-01,"New South Wales","15",2.8
1988-01-01,"New South Wales","15",2.7
1989-01-01,"New South Wales","15",3.5
1990-01-01,"New South Wales","15",3.3
1991-01-01,"New South Wales","15",2.8
1992-01-01,"New South Wales","15",2.9
1993-01-01,"New South Wales","15",3.5
1994-01-01,"New South Wales","15",3.7
1995-01-01,"New South Wales","15",3.3
1996-01-01,"New South Wales","15",3
1997-01-01,"New South Wales","15",2.8
1998-01-01,"New South Wales","15",2.8
1999-01-01,"New South Wales","15",3.2
2000-01-01,"New South Wales","15",2.5
2001-01-01,"New South Wales","15",3
2002-01-01,"New South Wales","15",2.9
2003-01-01,"New South Wales","15",2.2
2004-01-01,"New South Wales","15",2.5
2005-01-01,"New South Wales","15",2.5
2006-01-01,"New South Wales","15",2.3
2007-01-01,"New South Wales","15",2.7
2008-01-01,"New South Wales","15",3
2009-01-01,"New South Wales","15",2.4
2010-01-01,"New South Wales","15",2.5
2011-01-01,"New South Wales","15",2.2
2012-01-01,"New South Wales","15",2.2
2013-01-01,"New South Wales","15",2.4
2014-01-01,"New South Wales","15",1.8
2015-01-01,"New South Wales","15",1.6
2016-01-01,"New South Wales","15",1.1
2017-01-01,"New South Wales","15",1.3
2018-01-01,"New South Wales","15",1.4
2019-01-01,"New South Wales","15",1.1
2020-01-01,"New South Wales","15",1.2
2021-01-01,"New South Wales","15",1
2022-01-01,"New South Wales","15",0.9
1975-01-01,"Northern Territory","15",64.4
1976-01-01,"Northern Territory","15",84.3
1977-01-01,"Northern Territory","15",63.1
1978-01-01,"Northern Territory","15",56.7
1979-01-01,"Northern Territory","15",87.1
1980-01-01,"Northern Territory","15",55.9
1981-01-01,"Northern Territory","15",72.8
1982-01-01,"Northern Territory","15",61.7
1983-01-01,"Northern Territory","15",79.4
1984-01-01,"Northern Territory","15",63.7
1985-01-01,"Northern Territory","15",52.9
1986-01-01,"Northern Territory","15",51.9
1987-01-01,"Northern Territory","15",45.6
1988-01-01,"Northern Territory","15",42.1
1989-01-01,"Northern Territory","15",47.7
1990-01-01,"Northern Territory","15",47.4
1991-01-01,"Northern Territory","15",54.6
1992-01-01,"Northern Territory","15",55.7
1993-01-01,"Northern Territory","15",41.1
1994-01-01,"Northern Territory","15",53.6
1995-01-01,"Northern Territory","15",45.4
1996-01-01,"Northern Territory","15",50.1
1997-01-01,"Northern Territory","15",40.5
1998-01-01,"Northern Territory","15",40.1
1999-01-01,"Northern Territory","15",33.3
2000-01-01,"Northern Territory","15",33.9
2001-01-01,"Northern Territory","15",35.6
2002-01-01,"Northern Territory","15",31.1
2003-01-01,"Northern Territory","15",19
2004-01-01,"Northern Territory","15",18.5
2005-01-01,"Northern Territory","15",35.7
2006-01-01,"Northern Territory","15",36.4
2007-01-01,"Northern Territory","15",31.5
2008-01-01,"Northern Territory","15",28
2009-01-01,"Northern Territory","15",25.4
2010-01-01,"Northern Territory","15",20.4
2011-01-01,"Northern Territory","15",29.3
2012-01-01,"Northern Territory","15",26.5
2013-01-01,"Northern Territory","15",18.4
2014-01-01,"Northern Territory","15",24.2
2015-01-01,"Northern Territory","15",22.8
2016-01-01,"Northern Territory","15",12.8
2017-01-01,"Northern Territory","15",15.1
2018-01-01,"Northern Territory","15",10.4
2019-01-01,"Northern Territory","15",12.1
2020-01-01,"Northern Territory","15",9.3
2021-01-01,"Northern Territory","15",14.7
2022-01-01,"Northern Territory","15",8.5
1975-01-01,"Queensland","15",10.4
1976-01-01,"Queensland","15",10
1977-01-01,"Queensland","15",8.2
1978-01-01,"Queensland","15",7
1979-01-01,"Queensland","15",6.9
1980-01-01,"Queensland","15",6.4
1981-01-01,"Queensland","15",6.7
1982-01-01,"Queensland","15",6.3
1983-01-01,"Queensland","15",5.9
1984-01-01,"Queensland","15",5.4
1985-01-01,"Queensland","15",4.3
1986-01-01,"Queensland","15",5
1987-01-01,"Queensland","15",4.1
1988-01-01,"Queensland","15",3.1
1989-01-01,"Queensland","15",4.8
1990-01-01,"Queensland","15",3.4
1991-01-01,"Queensland","15",3.5
1992-01-01,"Queensland","15",3.7
1993-01-01,"Queensland","15",3.9
1994-01-01,"Queensland","15",3.6
1995-01-01,"Queensland","15",4
1996-01-01,"Queensland","15",4.5
1997-01-01,"Queensland","15",4.8
1998-01-01,"Queensland","15",3.8
1999-01-01,"Queensland","15",3.8
2000-01-01,"Queensland","15",3.6
2001-01-01,"Queensland","15",4.1
2002-01-01,"Queensland","15",3.4
2003-01-01,"Queensland","15",4.5
2004-01-01,"Queensland","15",3.2
2005-01-01,"Queensland","15",3.3
2006-01-01,"Queensland","15",2.4
2007-01-01,"Queensland","15",4.3
2008-01-01,"Queensland","15",4.3
2009-01-01,"Queensland","15",6.2
2010-01-01,"Queensland","15",5
2011-01-01,"Queensland","15",4
2012-01-01,"Queensland","15",3.6
2013-01-01,"Queensland","15",3
2014-01-01,"Queensland","15",2.9
2015-01-01,"Queensland","15",3.2
2016-01-01,"Queensland","15",2.2
2017-01-01,"Queensland","15",2.5
2018-01-01,"Queensland","15",1.7
2019-01-01,"Queensland","15",2
2020-01-01,"Queensland","15",1.7
2021-01-01,"Queensland","15",1.9
2022-01-01,"Queensland","15",1.6
1975-01-01,"South Australia","15",7.4
1976-01-01,"South Australia","15",7.2
1977-01-01,"South Australia","15",6.6
1978-01-01,"South Australia","15",5.1
1979-01-01,"South Australia","15",5
1980-01-01,"South Australia","15",5.4
1981-01-01,"South Australia","15",4.8
1982-01-01,"South Australia","15",3.9
1983-01-01,"South Australia","15",5
1984-01-01,"South Australia","15",3.7
1985-01-01,"South Australia","15",2.9
1986-01-01,"South Australia","15",3.1
1987-01-01,"South Australia","15",3.7
1988-01-01,"South Australia","15",3.6
1989-01-01,"South Australia","15",5
1990-01-01,"South Australia","15",4.6
1991-01-01,"South Australia","15",5
1992-01-01,"South Australia","15",2.1
1993-01-01,"South Australia","15",1.8
1994-01-01,"South Australia","15",2.5
1995-01-01,"South Australia","15",1.6
1996-01-01,"South Australia","15",2.5
1997-01-01,"South Australia","15",2.6
1998-01-01,"South Australia","15",1.5
1999-01-01,"South Australia","15",1.4
2000-01-01,"South Australia","15",2.1
2001-01-01,"South Australia","15",1.1
2002-01-01,"South Australia","15",1.8
2003-01-01,"South Australia","15",2.3
2004-01-01,"South Australia","15",1.3
2005-01-01,"South Australia","15",2.4
2006-01-01,"South Australia","15",3.1
2007-01-01,"South Australia","15",3.4
2008-01-01,"South Australia","15",3.3
2009-01-01,"South Australia","15",3.8
2010-01-01,"South Australia","15",2.2
2011-01-01,"South Australia","15",2.4
2012-01-01,"South Australia","15",2.6
2013-01-01,"South Australia","15",2.2
2014-01-01,"South Australia","15",1.6
2015-01-01,"South Australia","15",2.3
2016-01-01,"South Australia","15",2.2
2017-01-01,"South Australia","15",0.6
2018-01-01,"South Australia","15",1.4
2019-01-01,"South Australia","15",0.9
2020-01-01,"South Australia","15",0.8
2021-01-01,"South Australia","15",1.9
2022-01-01,"South Australia","15",0.8
1975-01-01,"Tasmania","15",11.5
1976-01-01,"Tasmania","15",7.7
1977-01-01,"Tasmania","15",7.7
1978-01-01,"Tasmania","15",8.1
1979-01-01,"Tasmania","15",7
1980-01-01,"Tasmania","15",5.8
1981-01-01,"Tasmania","15",7
1982-01-01,"Tasmania","15",10
1983-01-01,"Tasmania","15",7.5
1984-01-01,"Tasmania","15",4.3
1985-01-01,"Tasmania","15",3.9
1986-01-01,"Tasmania","15",3.8
1987-01-01,"Tasmania","15",4.3
1988-01-01,"Tasmania","15",3.4
1989-01-01,"Tasmania","15",4
1990-01-01,"Tasmania","15",5.1
1991-01-01,"Tasmania","15",2.9
1992-01-01,"Tasmania","15",6.2
1993-01-01,"Tasmania","15",4.9
1994-01-01,"Tasmania","15",4.6
1995-01-01,"Tasmania","15",2.4
1996-01-01,"Tasmania","15",5.6
1997-01-01,"Tasmania","15",4.6
1998-01-01,"Tasmania","15",5.8
1999-01-01,"Tasmania","15",3.7
2000-01-01,"Tasmania","15",4
2001-01-01,"Tasmania","15",3.5
2002-01-01,"Tasmania","15",3.4
2003-01-01,"Tasmania","15",3.5
2004-01-01,"Tasmania","15",3.1
2005-01-01,"Tasmania","15",2.2
2006-01-01,"Tasmania","15",5
2007-01-01,"Tasmania","15",4.7
2008-01-01,"Tasmania","15",5
2009-01-01,"Tasmania","15",6.9
2010-01-01,"Tasmania","15",5.8
2011-01-01,"Tasmania","15",4.4
2012-01-01,"Tasmania","15",5.1
2013-01-01,"Tasmania","15",4.2
2014-01-01,"Tasmania","15",5.9
2015-01-01,"Tasmania","15",3.9
2016-01-01,"Tasmania","15",3
2017-01-01,"Tasmania","15",2
2018-01-01,"Tasmania","15",2
2019-01-01,"Tasmania","15",2
2020-01-01,"Tasmania","15",1
2021-01-01,"Tasmania","15",0
2022-01-01,"Tasmania","15",0.3
1975-01-01,"Victoria","15",3.3
1976-01-01,"Victoria","15",3.6
1977-01-01,"Victoria","15",3.7
1978-01-01,"Victoria","15",3.1
1979-01-01,"Victoria","15",2.5
1980-01-01,"Victoria","15",2.1
1981-01-01,"Victoria","15",2.6
1982-01-01,"Victoria","15",1.9
1983-01-01,"Victoria","15",2.1
1984-01-01,"Victoria","15",1.9
1985-01-01,"Victoria","15",2.3
1986-01-01,"Victoria","15",1.6
1987-01-01,"Victoria","15",2.3
1988-01-01,"Victoria","15",1.7
1989-01-01,"Victoria","15",1.3
1990-01-01,"Victoria","15",2
1991-01-01,"Victoria","15",1.9
1992-01-01,"Victoria","15",0.9
1993-01-01,"Victoria","15",1.5
1994-01-01,"Victoria","15",2.1
1995-01-01,"Victoria","15",2.5
1996-01-01,"Victoria","15",1.9
1997-01-01,"Victoria","15",1.8
1998-01-01,"Victoria","15",1.5
1999-01-01,"Victoria","15",1.8
2000-01-01,"Victoria","15",1.3
2001-01-01,"Victoria","15",1.7
2002-01-01,"Victoria","15",1.3
2003-01-01,"Victoria","15",1.3
2004-01-01,"Victoria","15",1.6
2005-01-01,"Victoria","15",1.3
2006-01-01,"Victoria","15",1.1
2007-01-01,"Victoria","15",1.5
2008-01-01,"Victoria","15",1.7
2009-01-01,"Victoria","15",1.3
2010-01-01,"Victoria","15",0.8
2011-01-01,"Victoria","15",1.2
2012-01-01,"Victoria","15",1.8
2013-01-01,"Victoria","15",1.7
2014-01-01,"Victoria","15",1.2
2015-01-01,"Victoria","15",0.8
2016-01-01,"Victoria","15",1
2017-01-01,"Victoria","15",0.8
2018-01-01,"Victoria","15",0.8
2019-01-01,"Victoria","15",0.7
2020-01-01,"Victoria","15",0.5
2021-01-01,"Victoria","15",0.3
2022-01-01,"Victoria","15",0.4
1975-01-01,"Western Australia","15",7.9
1976-01-01,"Western Australia","15",8.6
1977-01-01,"Western Australia","15",6.1
1978-01-01,"Western Australia","15",8.2
1979-01-01,"Western Australia","15",7.6
1980-01-01,"Western Australia","15",6.1
1981-01-01,"Western Australia","15",5.9
1982-01-01,"Western Australia","15",5.3
1983-01-01,"Western Australia","15",6.7
1984-01-01,"Western Australia","15",4.2
1985-01-01,"Western Australia","15",5.3
1986-01-01,"Western Australia","15",5.4
1987-01-01,"Western Australia","15",4.3
1988-01-01,"Western Australia","15",5.2
1989-01-01,"Western Australia","15",4.6
1990-01-01,"Western Australia","15",5.2
1991-01-01,"Western Australia","15",5.3
1992-01-01,"Western Australia","15",4.8
1993-01-01,"Western Australia","15",4.7
1994-01-01,"Western Australia","15",7.4
1995-01-01,"Western Australia","15",4.7
1996-01-01,"Western Australia","15",5
1997-01-01,"Western Australia","15",3.5
1998-01-01,"Western Australia","15",4.8
1999-01-01,"Western Australia","15",4.5
2000-01-01,"Western Australia","15",4.2
2001-01-01,"Western Australia","15",4.2
2002-01-01,"Western Australia","15",3.8
2003-01-01,"Western Australia","15",4.3
2004-01-01,"Western Australia","15",4.3
2005-01-01,"Western Australia","15",4.2
2006-01-01,"Western Australia","15",3.2
2007-01-01,"Western Australia","15",4.6
2008-01-01,"Western Australia","15",4.2
2009-01-01,"Western Australia","15",4.9
2010-01-01,"Western Australia","15",4.8
2011-01-01,"Western Australia","15",3.8
2012-01-01,"Western Australia","15",3.9
2013-01-01,"Western Australia","15",3.9
2014-01-01,"Western Australia","15",3.5
2015-01-01,"Western Australia","15",2.8
2016-01-01,"Western Australia","15",3.6
2017-01-01,"Western Australia","15",2.9
2018-01-01,"Western Australia","15",2.1
2019-01-01,"Western Australia","15",1.7
2020-01-01,"Western Australia","15",2.3
2021-01-01,"Western Australia","15",2
2022-01-01,"Western Australia","15",2
1975-01-01,"Australia","16",19.2
1976-01-01,"Australia","16",15.9
1977-01-01,"Australia","16",14.3
1978-01-01,"Australia","16",12.9
1979-01-01,"Australia","16",12.8
1980-01-01,"Australia","16",12
1981-01-01,"Australia","16",12.2
1982-01-01,"Australia","16",11.8
1983-01-01,"Australia","16",11.6
1984-01-01,"Australia","16",10.2
1985-01-01,"Australia","16",10.1
1986-01-01,"Australia","16",9
1987-01-01,"Australia","16",8.6
1988-01-01,"Australia","16",8.9
1989-01-01,"Australia","16",9
1990-01-01,"Australia","16",8.5
1991-01-01,"Australia","16",8.9
1992-01-01,"Australia","16",9
1993-01-01,"Australia","16",8.7
1994-01-01,"Australia","16",9
1995-01-01,"Australia","16",9.4
1996-01-01,"Australia","16",8.9
1997-01-01,"Australia","16",8.5
1998-01-01,"Australia","16",8.3
1999-01-01,"Australia","16",7.7
2000-01-01,"Australia","16",7.7
2001-01-01,"Australia","16",7.3
2002-01-01,"Australia","16",7.5
2003-01-01,"Australia","16",7.2
2004-01-01,"Australia","16",6.7
2005-01-01,"Australia","16",7
2006-01-01,"Australia","16",6.7
2007-01-01,"Australia","16",6.8
2008-01-01,"Australia","16",8
2009-01-01,"Australia","16",7.6
2010-01-01,"Australia","16",7
2011-01-01,"Australia","16",6.6
2012-01-01,"Australia","16",6.4
2013-01-01,"Australia","16",5.6
2014-01-01,"Australia","16",4.9
2015-01-01,"Australia","16",4.5
2016-01-01,"Australia","16",3.9
2017-01-01,"Australia","16",3.7
2018-01-01,"Australia","16",3.7
2019-01-01,"Australia","16",3
2020-01-01,"Australia","16",2.3
2021-01-01,"Australia","16",2.2
2022-01-01,"Australia","16",2.2
1975-01-01,"Australian Capital Territory","16",12.5
1976-01-01,"Australian Capital Territory","16",13.6
1977-01-01,"Australian Capital Territory","16",4.7
1978-01-01,"Australian Capital Territory","16",8.1
1979-01-01,"Australian Capital Territory","16",7.1
1980-01-01,"Australian Capital Territory","16",4.9
1981-01-01,"Australian Capital Territory","16",6.3
1982-01-01,"Australian Capital Territory","16",8.1
1983-01-01,"Australian Capital Territory","16",3.4
1984-01-01,"Australian Capital Territory","16",5.9
1985-01-01,"Australian Capital Territory","16",5.2
1986-01-01,"Australian Capital Territory","16",5.6
1987-01-01,"Australian Capital Territory","16",4
1988-01-01,"Australian Capital Territory","16",0.8
1989-01-01,"Australian Capital Territory","16",2.3
1990-01-01,"Australian Capital Territory","16",5.4
1991-01-01,"Australian Capital Territory","16",5.5
1992-01-01,"Australian Capital Territory","16",7.8
1993-01-01,"Australian Capital Territory","16",4.7
1994-01-01,"Australian Capital Territory","16",5.7
1995-01-01,"Australian Capital Territory","16",3.1
1996-01-01,"Australian Capital Territory","16",5.6
1997-01-01,"Australian Capital Territory","16",4.5
1998-01-01,"Australian Capital Territory","16",4.8
1999-01-01,"Australian Capital Territory","16",2.7
2000-01-01,"Australian Capital Territory","16",4.4
2001-01-01,"Australian Capital Territory","16",4
2002-01-01,"Australian Capital Territory","16",6.5
2003-01-01,"Australian Capital Territory","16",3.7
2004-01-01,"Australian Capital Territory","16",2.2
2005-01-01,"Australian Capital Territory","16",2.6
2006-01-01,"Australian Capital Territory","16",3.6
2007-01-01,"Australian Capital Territory","16",4
2008-01-01,"Australian Capital Territory","16",3
2009-01-01,"Australian Capital Territory","16",3.1
2010-01-01,"Australian Capital Territory","16",3.1
2011-01-01,"Australian Capital Territory","16",3.7
2012-01-01,"Australian Capital Territory","16",0.5
2013-01-01,"Australian Capital Territory","16",4
2014-01-01,"Australian Capital Territory","16",2.2
2015-01-01,"Australian Capital Territory","16",0.5
2016-01-01,"Australian Capital Territory","16",2.3
2017-01-01,"Australian Capital Territory","16",0.4
2018-01-01,"Australian Capital Territory","16",1.7
2019-01-01,"Australian Capital Territory","16",4.7
2020-01-01,"Australian Capital Territory","16",0.5
2021-01-01,"Australian Capital Territory","16",0
2022-01-01,"Australian Capital Territory","16",0
1975-01-01,"New South Wales","16",19.9
1976-01-01,"New South Wales","16",14.5
1977-01-01,"New South Wales","16",13
1978-01-01,"New South Wales","16",11.8
1979-01-01,"New South Wales","16",12.6
1980-01-01,"New South Wales","16",12
1981-01-01,"New South Wales","16",11.7
1982-01-01,"New South Wales","16",11.9
1983-01-01,"New South Wales","16",11.3
1984-01-01,"New South Wales","16",9
1985-01-01,"New South Wales","16",9.3
1986-01-01,"New South Wales","16",8.4
1987-01-01,"New South Wales","16",8.6
1988-01-01,"New South Wales","16",8.4
1989-01-01,"New South Wales","16",8.8
1990-01-01,"New South Wales","16",7.2
1991-01-01,"New South Wales","16",8.4
1992-01-01,"New South Wales","16",8.9
1993-01-01,"New South Wales","16",9.1
1994-01-01,"New South Wales","16",8.6
1995-01-01,"New South Wales","16",8.8
1996-01-01,"New South Wales","16",8.9
1997-01-01,"New South Wales","16",7.8
1998-01-01,"New South Wales","16",7.5
1999-01-01,"New South Wales","16",7.8
2000-01-01,"New South Wales","16",6.7
2001-01-01,"New South Wales","16",6.3
2002-01-01,"New South Wales","16",6.8
2003-01-01,"New South Wales","16",6.3
2004-01-01,"New South Wales","16",6
2005-01-01,"New South Wales","16",6.4
2006-01-01,"New South Wales","16",6.2
2007-01-01,"New South Wales","16",5.7
2008-01-01,"New South Wales","16",7.4
2009-01-01,"New South Wales","16",6.4
2010-01-01,"New South Wales","16",6.6
2011-01-01,"New South Wales","16",6.1
2012-01-01,"New South Wales","16",5.3
2013-01-01,"New South Wales","16",5
2014-01-01,"New South Wales","16",4
2015-01-01,"New South Wales","16",4.3
2016-01-01,"New South Wales","16",3.3
2017-01-01,"New South Wales","16",3.2
2018-01-01,"New South Wales","16",3.9
2019-01-01,"New South Wales","16",2.6
2020-01-01,"New South Wales","16",2.3
2021-01-01,"New South Wales","16",1.7
2022-01-01,"New South Wales","16",1.7
1975-01-01,"Northern Territory","16",78.2
1976-01-01,"Northern Territory","16",81.1
1977-01-01,"Northern Territory","16",72.6
1978-01-01,"Northern Territory","16",69.7
1979-01-01,"Northern Territory","16",73.1
1980-01-01,"Northern Territory","16",55.8
1981-01-01,"Northern Territory","16",65.6
1982-01-01,"Northern Territory","16",66.7
1983-01-01,"Northern Territory","16",61.3
1984-01-01,"Northern Territory","16",67.2
1985-01-01,"Northern Territory","16",60.7
1986-01-01,"Northern Territory","16",70.5
1987-01-01,"Northern Territory","16",58.8
1988-01-01,"Northern Territory","16",59.2
1989-01-01,"Northern Territory","16",54.5
1990-01-01,"Northern Territory","16",57.3
1991-01-01,"Northern Territory","16",43.9
1992-01-01,"Northern Territory","16",49.7
1993-01-01,"Northern Territory","16",59.5
1994-01-01,"Northern Territory","16",62.6
1995-01-01,"Northern Territory","16",70.4
1996-01-01,"Northern Territory","16",42.6
1997-01-01,"Northern Territory","16",51.6
1998-01-01,"Northern Territory","16",53.8
1999-01-01,"Northern Territory","16",41.4
2000-01-01,"Northern Territory","16",51.5
2001-01-01,"Northern Territory","16",46.6
2002-01-01,"Northern Territory","16",40.9
2003-01-01,"Northern Territory","16",53.8
2004-01-01,"Northern Territory","16",36.8
2005-01-01,"Northern Territory","16",38.5
2006-01-01,"Northern Territory","16",40.5
2007-01-01,"Northern Territory","16",34.5
2008-01-01,"Northern Territory","16",22.3
2009-01-01,"Northern Territory","16",26.5
2010-01-01,"Northern Territory","16",34.1
2011-01-01,"Northern Territory","16",20.7
2012-01-01,"Northern Territory","16",28.5
2013-01-01,"Northern Territory","16",21.3
2014-01-01,"Northern Territory","16",27.1
2015-01-01,"Northern Territory","16",20.5
2016-01-01,"Northern Territory","16",13
2017-01-01,"Northern Territory","16",13.8
2018-01-01,"Northern Territory","16",23.5
2019-01-01,"Northern Territory","16",13.3
2020-01-01,"Northern Territory","16",12.2
2021-01-01,"Northern Territory","16",12.1
2022-01-01,"Northern Territory","16",12.4
1975-01-01,"Queensland","16",25.5
1976-01-01,"Queensland","16",23.3
1977-01-01,"Queensland","16",20.1
1978-01-01,"Queensland","16",18.9
1979-01-01,"Queensland","16",15.8
1980-01-01,"Queensland","16",15.7
1981-01-01,"Queensland","16",18.1
1982-01-01,"Queensland","16",16.7
1983-01-01,"Queensland","16",17.3
1984-01-01,"Queensland","16",14.3
1985-01-01,"Queensland","16",15.1
1986-01-01,"Queensland","16",11.2
1987-01-01,"Queensland","16",10.6
1988-01-01,"Queensland","16",10.9
1989-01-01,"Queensland","16",11
1990-01-01,"Queensland","16",11
1991-01-01,"Queensland","16",10.9
1992-01-01,"Queensland","16",10.4
1993-01-01,"Queensland","16",11
1994-01-01,"Queensland","16",11.3
1995-01-01,"Queensland","16",12
1996-01-01,"Queensland","16",11.7
1997-01-01,"Queensland","16",11
1998-01-01,"Queensland","16",11.1
1999-01-01,"Queensland","16",9.7
2000-01-01,"Queensland","16",10.7
2001-01-01,"Queensland","16",9.4
2002-01-01,"Queensland","16",10.7
2003-01-01,"Queensland","16",9.9
2004-01-01,"Queensland","16",9.7
2005-01-01,"Queensland","16",8.8
2006-01-01,"Queensland","16",8
2007-01-01,"Queensland","16",9.3
2008-01-01,"Queensland","16",10.7
2009-01-01,"Queensland","16",12.1
2010-01-01,"Queensland","16",10.2
2011-01-01,"Queensland","16",9.4
2012-01-01,"Queensland","16",8.9
2013-01-01,"Queensland","16",7.8
2014-01-01,"Queensland","16",7
2015-01-01,"Queensland","16",5.8
2016-01-01,"Queensland","16",5.2
2017-01-01,"Queensland","16",5.3
2018-01-01,"Queensland","16",4.6
2019-01-01,"Queensland","16",4.4
2020-01-01,"Queensland","16",3
2021-01-01,"Queensland","16",3.5
2022-01-01,"Queensland","16",3.8
1975-01-01,"South Australia","16",18.3
1976-01-01,"South Australia","16",13.5
1977-01-01,"South Australia","16",14.8
1978-01-01,"South Australia","16",10.9
1979-01-01,"South Australia","16",12.2
1980-01-01,"South Australia","16",11
1981-01-01,"South Australia","16",10.6
1982-01-01,"South Australia","16",9.2
1983-01-01,"South Australia","16",10.8
1984-01-01,"South Australia","16",10.2
1985-01-01,"South Australia","16",9.4
1986-01-01,"South Australia","16",8.3
1987-01-01,"South Australia","16",8.5
1988-01-01,"South Australia","16",9.6
1989-01-01,"South Australia","16",10.7
1990-01-01,"South Australia","16",9
1991-01-01,"South Australia","16",8.4
1992-01-01,"South Australia","16",7
1993-01-01,"South Australia","16",4.7
1994-01-01,"South Australia","16",6.2
1995-01-01,"South Australia","16",7.2
1996-01-01,"South Australia","16",5.8
1997-01-01,"South Australia","16",6.9
1998-01-01,"South Australia","16",5.8
1999-01-01,"South Australia","16",5.5
2000-01-01,"South Australia","16",6.3
2001-01-01,"South Australia","16",5.8
2002-01-01,"South Australia","16",5.6
2003-01-01,"South Australia","16",3.8
2004-01-01,"South Australia","16",3.8
