"fecha","State","NOM"
2021-01-01,"NSW",-806
2021-04-01,"NSW",4132
2021-07-01,"NSW",-6185
2021-10-01,"NSW",14754
2022-01-01,"NSW",35866
2022-04-01,"NSW",24677
2022-07-01,"NSW",42609
2022-10-01,"NSW",41715
2023-01-01,"NSW",51073
2023-04-01,"NSW",41743
2023-07-01,"NSW",51902
1981-04-01,"NT",400
1981-07-01,"NT",279
1981-10-01,"NT",416
1982-01-01,"NT",215
1982-04-01,"NT",273
1982-07-01,"NT",93
1982-10-01,"NT",22
1983-01-01,"NT",244
1983-04-01,"NT",123
1983-07-01,"NT",432
1983-10-01,"NT",16
1984-01-01,"NT",87
1984-04-01,"NT",297
1984-07-01,"NT",242
1984-10-01,"NT",140
1985-01-01,"NT",350
1985-04-01,"NT",324
1985-07-01,"NT",386
1985-10-01,"NT",225
1986-01-01,"NT",267
1986-04-01,"NT",327
1986-07-01,"NT",278
1986-10-01,"NT",185
1987-01-01,"NT",315
1987-04-01,"NT",244
1987-07-01,"NT",330
1987-10-01,"NT",98
1988-01-01,"NT",356
1988-04-01,"NT",243
1988-07-01,"NT",316
1988-10-01,"NT",168
1989-01-01,"NT",382
1989-04-01,"NT",78
1989-07-01,"NT",266
1989-10-01,"NT",106
1990-01-01,"NT",280
1990-04-01,"NT",266
1990-07-01,"NT",268
1990-10-01,"NT",28
1991-01-01,"NT",215
1991-04-01,"NT",110
1991-07-01,"NT",210
1991-10-01,"NT",-130
1992-01-01,"NT",160
1992-04-01,"NT",-76
1992-07-01,"NT",81
1992-10-01,"NT",-86
1993-01-01,"NT",100
1993-04-01,"NT",-51
1993-07-01,"NT",116
1993-10-01,"NT",-57
1994-01-01,"NT",78
1994-04-01,"NT",58
1994-07-01,"NT",265
1994-10-01,"NT",-86
1995-01-01,"NT",117
1995-04-01,"NT",171
1995-07-01,"NT",238
1995-10-01,"NT",146
1996-01-01,"NT",61
1996-04-01,"NT",124
1996-07-01,"NT",321
1996-10-01,"NT",67
1997-01-01,"NT",125
1997-04-01,"NT",28
1997-07-01,"NT",262
1997-10-01,"NT",-2
1998-01-01,"NT",191
1998-04-01,"NT",109
1998-07-01,"NT",167
1998-10-01,"NT",374
1999-01-01,"NT",218
1999-04-01,"NT",247
1999-07-01,"NT",429
1999-10-01,"NT",173
2000-01-01,"NT",178
2000-04-01,"NT",162
2000-07-01,"NT",279
2000-10-01,"NT",81
2001-01-01,"NT",240
2001-04-01,"NT",278
2001-07-01,"NT",217
2001-10-01,"NT",61
2002-01-01,"NT",296
2002-04-01,"NT",81
2002-07-01,"NT",192
2002-10-01,"NT",-161
2003-01-01,"NT",-13
2003-04-01,"NT",307
2003-07-01,"NT",266
2003-10-01,"NT",4
2004-01-01,"NT",226
2004-04-01,"NT",152
2004-07-01,"NT",464
2004-10-01,"NT",80
2005-01-01,"NT",272
2005-04-01,"NT",188
2005-07-01,"NT",365
2005-10-01,"NT",262
2006-01-01,"NT",768
2006-04-01,"NT",496
2006-07-01,"NT",231
2006-10-01,"NT",25
2007-01-01,"NT",477
2007-04-01,"NT",420
2007-07-01,"NT",266
2007-10-01,"NT",214
2008-01-01,"NT",483
2008-04-01,"NT",660
2008-07-01,"NT",505
2008-10-01,"NT",322
2009-01-01,"NT",447
2009-04-01,"NT",825
2009-07-01,"NT",374
2009-10-01,"NT",44
2010-01-01,"NT",339
2010-04-01,"NT",474
2010-07-01,"NT",247
2010-10-01,"NT",27
2011-01-01,"NT",271
2011-04-01,"NT",555
2011-07-01,"NT",781
2011-10-01,"NT",462
2012-01-01,"NT",1119
2012-04-01,"NT",964
2012-07-01,"NT",1097
2012-10-01,"NT",939
2013-01-01,"NT",1169
2013-04-01,"NT",1149
2013-07-01,"NT",425
2013-10-01,"NT",450
2014-01-01,"NT",645
2014-04-01,"NT",232
2014-07-01,"NT",236
2014-10-01,"NT",28
2015-01-01,"NT",715
2015-04-01,"NT",1375
2015-07-01,"NT",-284
2015-10-01,"NT",-262
2016-01-01,"NT",615
2016-04-01,"NT",979
2016-07-01,"NT",560
2016-10-01,"NT",-67
2017-01-01,"NT",434
2017-04-01,"NT",918
2017-07-01,"NT",100
2017-10-01,"NT",-210
2018-01-01,"NT",317
2018-04-01,"NT",551
2018-07-01,"NT",51
2018-10-01,"NT",-363
2019-01-01,"NT",553
2019-04-01,"NT",691
2019-07-01,"NT",4
2019-10-01,"NT",-257
2020-01-01,"NT",598
2020-04-01,"NT",-56
2020-07-01,"NT",-213
2020-10-01,"NT",-268
2021-01-01,"NT",43
2021-04-01,"NT",16
2021-07-01,"NT",512
2021-10-01,"NT",146
2022-01-01,"NT",1070
2022-04-01,"NT",607
2022-07-01,"NT",481
2022-10-01,"NT",461
2023-01-01,"NT",1235
2023-04-01,"NT",1214
2023-07-01,"NT",279
1981-04-01,"QLD",4630
1981-07-01,"QLD",4541
1981-10-01,"QLD",4514
1982-01-01,"QLD",4008
1982-04-01,"QLD",4502
1982-07-01,"QLD",4244
1982-10-01,"QLD",1412
1983-01-01,"QLD",1876
1983-04-01,"QLD",1089
1983-07-01,"QLD",1187
1983-10-01,"QLD",426
1984-01-01,"QLD",391
1984-04-01,"QLD",1263
1984-07-01,"QLD",2196
1984-10-01,"QLD",1241
1985-01-01,"QLD",2081
1985-04-01,"QLD",2147
1985-07-01,"QLD",2639
1985-10-01,"QLD",2892
1986-01-01,"QLD",2733
1986-04-01,"QLD",3118
1986-07-01,"QLD",3418
1986-10-01,"QLD",3250
1987-01-01,"QLD",3066
1987-04-01,"QLD",3437
1987-07-01,"QLD",4387
1987-10-01,"QLD",4459
1988-01-01,"QLD",6643
1988-04-01,"QLD",4953
1988-07-01,"QLD",7507
1988-10-01,"QLD",5861
1989-01-01,"QLD",5637
1989-04-01,"QLD",2771
1989-07-01,"QLD",4024
1989-10-01,"QLD",3434
1990-01-01,"QLD",3037
1990-04-01,"QLD",2647
1990-07-01,"QLD",2596
1990-10-01,"QLD",990
1991-01-01,"QLD",4082
1991-04-01,"QLD",2075
1991-07-01,"QLD",3210
1991-10-01,"QLD",812
1992-01-01,"QLD",3291
1992-04-01,"QLD",937
1992-07-01,"QLD",2169
1992-10-01,"QLD",-113
1993-01-01,"QLD",2476
1993-04-01,"QLD",-813
1993-07-01,"QLD",2385
1993-10-01,"QLD",118
1994-01-01,"QLD",2279
1994-04-01,"QLD",459
1994-07-01,"QLD",4131
1994-10-01,"QLD",-160
1995-01-01,"QLD",3049
1995-04-01,"QLD",3560
1995-07-01,"QLD",4134
1995-10-01,"QLD",2967
1996-01-01,"QLD",2902
1996-04-01,"QLD",3048
1996-07-01,"QLD",4814
1996-10-01,"QLD",1946
1997-01-01,"QLD",4506
1997-04-01,"QLD",1354
1997-07-01,"QLD",4116
1997-10-01,"QLD",1831
1998-01-01,"QLD",4901
1998-04-01,"QLD",1642
1998-07-01,"QLD",3479
1998-10-01,"QLD",2460
1999-01-01,"QLD",5535
1999-04-01,"QLD",2236
1999-07-01,"QLD",3903
1999-10-01,"QLD",5497
2000-01-01,"QLD",5258
2000-04-01,"QLD",2856
2000-07-01,"QLD",4421
2000-10-01,"QLD",3382
2001-01-01,"QLD",8873
2001-04-01,"QLD",4327
2001-07-01,"QLD",7832
2001-10-01,"QLD",6491
2002-01-01,"QLD",6960
2002-04-01,"QLD",5205
2002-07-01,"QLD",8777
2002-10-01,"QLD",6991
2003-01-01,"QLD",7697
2003-04-01,"QLD",3657
2003-07-01,"QLD",6959
2003-10-01,"QLD",6747
2004-01-01,"QLD",7782
2004-04-01,"QLD",3911
2004-07-01,"QLD",6152
2004-10-01,"QLD",7909
2005-01-01,"QLD",9265
2005-04-01,"QLD",6229
2005-07-01,"QLD",8406
2005-10-01,"QLD",8277
2006-01-01,"QLD",10077
2006-04-01,"QLD",6192
2006-07-01,"QLD",10814
2006-10-01,"QLD",9170
2007-01-01,"QLD",14047
2007-04-01,"QLD",12114
2007-07-01,"QLD",10750
2007-10-01,"QLD",10770
2008-01-01,"QLD",17953
2008-04-01,"QLD",14434
2008-07-01,"QLD",15873
2008-10-01,"QLD",14580
2009-01-01,"QLD",17643
2009-04-01,"QLD",11223
2009-07-01,"QLD",11200
2009-10-01,"QLD",7259
2010-01-01,"QLD",10638
2010-04-01,"QLD",6723
2010-07-01,"QLD",7541
2010-10-01,"QLD",6768
2011-01-01,"QLD",11386
2011-04-01,"QLD",8934
2011-07-01,"QLD",11226
2011-10-01,"QLD",9376
2012-01-01,"QLD",14157
2012-04-01,"QLD",11779
2012-07-01,"QLD",12846
2012-10-01,"QLD",8482
2013-01-01,"QLD",12250
2013-04-01,"QLD",8253
2013-07-01,"QLD",8257
2013-10-01,"QLD",4702
2014-01-01,"QLD",9754
2014-04-01,"QLD",4504
2014-07-01,"QLD",5740
2014-10-01,"QLD",3035
2015-01-01,"QLD",7978
2015-04-01,"QLD",3681
2015-07-01,"QLD",4594
2015-10-01,"QLD",3227
2016-01-01,"QLD",9874
2016-04-01,"QLD",7257
2016-07-01,"QLD",9353
2016-10-01,"QLD",5943
2017-01-01,"QLD",11370
2017-04-01,"QLD",7409
2017-07-01,"QLD",7040
2017-10-01,"QLD",1818
2018-01-01,"QLD",11337
2018-04-01,"QLD",7546
2018-07-01,"QLD",9596
2018-10-01,"QLD",5258
2019-01-01,"QLD",11294
2019-04-01,"QLD",5601
2019-07-01,"QLD",10440
2019-10-01,"QLD",6580
2020-01-01,"QLD",12468
2020-04-01,"QLD",-1514
2020-07-01,"QLD",-6781
2020-10-01,"QLD",-5172
2021-01-01,"QLD",-1701
2021-04-01,"QLD",808
2021-07-01,"QLD",-1486
2021-10-01,"QLD",1593
2022-01-01,"QLD",15934
2022-04-01,"QLD",13581
2022-07-01,"QLD",18994
2022-10-01,"QLD",18322
2023-01-01,"QLD",25369
2023-04-01,"QLD",22317
2023-07-01,"QLD",21946
1981-04-01,"SA",1301
1981-07-01,"SA",2279
1981-10-01,"SA",2692
1982-01-01,"SA",1844
1982-04-01,"SA",1705
1982-07-01,"SA",1950
1982-10-01,"SA",1568
1983-01-01,"SA",1783
1983-04-01,"SA",1116
1983-07-01,"SA",1253
1983-10-01,"SA",1032
1984-01-01,"SA",829
1984-04-01,"SA",855
1984-07-01,"SA",948
1984-10-01,"SA",1320
1985-01-01,"SA",1118
1985-04-01,"SA",943
1985-07-01,"SA",1272
1985-10-01,"SA",1414
1986-01-01,"SA",1201
1986-04-01,"SA",1197
1986-07-01,"SA",1560
1986-10-01,"SA",2005
1987-01-01,"SA",1430
1987-04-01,"SA",1205
1987-07-01,"SA",1464
1987-10-01,"SA",1446
1988-01-01,"SA",1841
1988-04-01,"SA",1201
1988-07-01,"SA",2589
1988-10-01,"SA",1533
1989-01-01,"SA",1708
1989-04-01,"SA",835
1989-07-01,"SA",1506
1989-10-01,"SA",1749
1990-01-01,"SA",1540
1990-04-01,"SA",967
1990-07-01,"SA",1168
1990-10-01,"SA",1016
1991-01-01,"SA",1540
1991-04-01,"SA",895
1991-07-01,"SA",1103
1991-10-01,"SA",477
1992-01-01,"SA",1127
1992-04-01,"SA",190
1992-07-01,"SA",634
1992-10-01,"SA",184
1993-01-01,"SA",945
1993-04-01,"SA",-217
1993-07-01,"SA",937
1993-10-01,"SA",163
1994-01-01,"SA",899
1994-04-01,"SA",-5
1994-07-01,"SA",937
1994-10-01,"SA",38
1995-01-01,"SA",943
1995-04-01,"SA",965
1995-07-01,"SA",1024
1995-10-01,"SA",980
1996-01-01,"SA",896
1996-04-01,"SA",753
1996-07-01,"SA",1069
1996-10-01,"SA",758
1997-01-01,"SA",1143
1997-04-01,"SA",136
1997-07-01,"SA",813
1997-10-01,"SA",758
1998-01-01,"SA",1382
1998-04-01,"SA",207
1998-07-01,"SA",209
1998-10-01,"SA",1330
1999-01-01,"SA",1000
1999-04-01,"SA",143
1999-07-01,"SA",1018
1999-10-01,"SA",1528
2000-01-01,"SA",1213
2000-04-01,"SA",70
2000-07-01,"SA",877
2000-10-01,"SA",566
2001-01-01,"SA",1276
2001-04-01,"SA",46
2001-07-01,"SA",520
2001-10-01,"SA",1468
2002-01-01,"SA",499
2002-04-01,"SA",311
2002-07-01,"SA",706
2002-10-01,"SA",1153
2003-01-01,"SA",1486
2003-04-01,"SA",559
2003-07-01,"SA",982
2003-10-01,"SA",1217
2004-01-01,"SA",1480
2004-04-01,"SA",626
2004-07-01,"SA",1483
2004-10-01,"SA",1482
2005-01-01,"SA",3138
2005-04-01,"SA",917
2005-07-01,"SA",2550
2005-10-01,"SA",2130
2006-01-01,"SA",3432
2006-04-01,"SA",1701
2006-07-01,"SA",3703
2006-10-01,"SA",3475
2007-01-01,"SA",4820
2007-04-01,"SA",2635
2007-07-01,"SA",3345
2007-10-01,"SA",3029
2008-01-01,"SA",5236
2008-04-01,"SA",3717
2008-07-01,"SA",4709
2008-10-01,"SA",3955
2009-01-01,"SA",5563
2009-04-01,"SA",3778
2009-07-01,"SA",4605
2009-10-01,"SA",3227
2010-01-01,"SA",4355
2010-04-01,"SA",2350
2010-07-01,"SA",2512
2010-10-01,"SA",1677
2011-01-01,"SA",2932
2011-04-01,"SA",2047
2011-07-01,"SA",2771
2011-10-01,"SA",2682
2012-01-01,"SA",4271
2012-04-01,"SA",2634
2012-07-01,"SA",2861
2012-10-01,"SA",2108
2013-01-01,"SA",3986
2013-04-01,"SA",2723
2013-07-01,"SA",3156
2013-10-01,"SA",2269
2014-01-01,"SA",4061
2014-04-01,"SA",2154
2014-07-01,"SA",2573
2014-10-01,"SA",2186
2015-01-01,"SA",4297
2015-04-01,"SA",2096
2015-07-01,"SA",2709
2015-10-01,"SA",2149
2016-01-01,"SA",3898
2016-04-01,"SA",2527
2016-07-01,"SA",3418
2016-10-01,"SA",2264
2017-01-01,"SA",4219
2017-04-01,"SA",2274
2017-07-01,"SA",3571
2017-10-01,"SA",2039
2018-01-01,"SA",4715
2018-04-01,"SA",2399
2018-07-01,"SA",4319
2018-10-01,"SA",2531
2019-01-01,"SA",5171
2019-04-01,"SA",3120
2019-07-01,"SA",5081
2019-10-01,"SA",3271
2020-01-01,"SA",6557
2020-04-01,"SA",29
2020-07-01,"SA",-1243
2020-10-01,"SA",-1287
2021-01-01,"SA",-763
2021-04-01,"SA",454
2021-07-01,"SA",-463
2021-10-01,"SA",1886
2022-01-01,"SA",8017
2022-04-01,"SA",4882
2022-07-01,"SA",7239
2022-10-01,"SA",5824
2023-01-01,"SA",9194
2023-04-01,"SA",6178
2023-07-01,"SA",7391
1981-04-01,"TAS",194
1981-07-01,"TAS",268
1981-10-01,"TAS",302
1982-01-01,"TAS",207
1982-04-01,"TAS",153
1982-07-01,"TAS",185
1982-10-01,"TAS",216
1983-01-01,"TAS",188
1983-04-01,"TAS",22
1983-07-01,"TAS",128
1983-10-01,"TAS",271
1984-01-01,"TAS",131
1984-04-01,"TAS",129
1984-07-01,"TAS",201
1984-10-01,"TAS",243
1985-01-01,"TAS",187
1985-04-01,"TAS",138
1985-07-01,"TAS",179
1985-10-01,"TAS",222
1986-01-01,"TAS",341
1986-04-01,"TAS",148
1986-07-01,"TAS",208
1986-10-01,"TAS",309
1987-01-01,"TAS",190
1987-04-01,"TAS",163
1987-07-01,"TAS",291
1987-10-01,"TAS",206
1988-01-01,"TAS",335
1988-04-01,"TAS",59
1988-07-01,"TAS",284
1988-10-01,"TAS",184
1989-01-01,"TAS",264
1989-04-01,"TAS",24
1989-07-01,"TAS",159
1989-10-01,"TAS",309
1990-01-01,"TAS",238
1990-04-01,"TAS",54
1990-07-01,"TAS",116
1990-10-01,"TAS",59
1991-01-01,"TAS",272
1991-04-01,"TAS",-39
1991-07-01,"TAS",51
1991-10-01,"TAS",2
1992-01-01,"TAS",60
1992-04-01,"TAS",-77
1992-07-01,"TAS",95
1992-10-01,"TAS",-38
1993-01-01,"TAS",182
1993-04-01,"TAS",-136
1993-07-01,"TAS",99
1993-10-01,"TAS",-26
1994-01-01,"TAS",118
1994-04-01,"TAS",1
1994-07-01,"TAS",175
1994-10-01,"TAS",-82
1995-01-01,"TAS",190
1995-04-01,"TAS",27
1995-07-01,"TAS",143
1995-10-01,"TAS",46
1996-01-01,"TAS",115
1996-04-01,"TAS",94
1996-07-01,"TAS",164
1996-10-01,"TAS",82
1997-01-01,"TAS",32
1997-04-01,"TAS",-24
1997-07-01,"TAS",-20
1997-10-01,"TAS",9
1998-01-01,"TAS",88
1998-04-01,"TAS",-38
1998-07-01,"TAS",120
1998-10-01,"TAS",343
1999-01-01,"TAS",-98
1999-04-01,"TAS",-194
1999-07-01,"TAS",179
1999-10-01,"TAS",228
2000-01-01,"TAS",84
2000-04-01,"TAS",-56
2000-07-01,"TAS",-48
2000-10-01,"TAS",12
2001-01-01,"TAS",129
2001-04-01,"TAS",8
2001-07-01,"TAS",-29
2001-10-01,"TAS",421
2002-01-01,"TAS",65
2002-04-01,"TAS",-150
2002-07-01,"TAS",40
2002-10-01,"TAS",570
2003-01-01,"TAS",349
2003-04-01,"TAS",55
2003-07-01,"TAS",162
2003-10-01,"TAS",294
2004-01-01,"TAS",205
2004-04-01,"TAS",39
2004-07-01,"TAS",243
2004-10-01,"TAS",440
2005-01-01,"TAS",430
2005-04-01,"TAS",-68
2005-07-01,"TAS",217
2005-10-01,"TAS",463
2006-01-01,"TAS",383
2006-04-01,"TAS",103
2006-07-01,"TAS",392
2006-10-01,"TAS",406
2007-01-01,"TAS",447
2007-04-01,"TAS",192
2007-07-01,"TAS",422
2007-10-01,"TAS",408
2008-01-01,"TAS",734
2008-04-01,"TAS",271
2008-07-01,"TAS",597
2008-10-01,"TAS",487
2009-01-01,"TAS",733
2009-04-01,"TAS",310
2009-07-01,"TAS",473
2009-10-01,"TAS",410
2010-01-01,"TAS",694
2010-04-01,"TAS",102
2010-07-01,"TAS",222
2010-10-01,"TAS",212
2011-01-01,"TAS",486
2011-04-01,"TAS",73
2011-07-01,"TAS",392
2011-10-01,"TAS",296
2012-01-01,"TAS",623
2012-04-01,"TAS",213
2012-07-01,"TAS",307
2012-10-01,"TAS",439
2013-01-01,"TAS",564
2013-04-01,"TAS",304
2013-07-01,"TAS",516
2013-10-01,"TAS",407
