"fecha","Volume"
1996-12-01,17.2538
1997-01-01,17.2706
1997-02-01,15.227
1997-03-01,16.6409
1997-04-01,16.6364
1997-05-01,16.5376
1997-06-01,15.5824
1997-07-01,16.3594
1997-08-01,16.352
1997-09-01,16.3419
1997-10-01,16.78
1997-11-01,16.3885
1997-12-01,17.3255
1998-01-01,17.9166
1998-02-01,15.8428
1998-03-01,17.4344
1998-04-01,16.7057
1998-05-01,16.7056
1998-06-01,15.7834
1998-07-01,16.7918
1998-08-01,16.7767
1998-09-01,16.3921
1998-10-01,17.1515
1998-11-01,17.0122
1998-12-01,17.8951
1999-01-01,18.4914
1999-02-01,16.2204
1999-03-01,17.7152
1999-04-01,17.2472
1999-05-01,17.6876
1999-06-01,16.241
1999-07-01,17.5451
1999-08-01,17.2933
1999-09-01,16.7712
1999-10-01,17.5667
1999-11-01,17.3221
1999-12-01,18.2621
2000-01-01,18.5308
2000-02-01,17.3892
2000-03-01,18.0225
2000-04-01,17.2604
2000-05-01,17.8613
2000-06-01,17.0309
2000-07-01,17.6762
2000-08-01,17.9805
2000-09-01,17.2073
2000-10-01,18.2651
2000-11-01,18.3323
2000-12-01,19.436
2001-01-01,19.2651
2001-02-01,17.479
2001-03-01,18.6182
2001-04-01,17.8869
2001-05-01,18.5423
2001-06-01,17.7207
2001-07-01,18.5664
2001-08-01,18.4185
2001-09-01,17.4745
2001-10-01,18.622
2001-11-01,18.1237
2001-12-01,18.7519
2002-01-01,19.3208
2002-02-01,17.2603
2002-03-01,19.2879
2002-04-01,18.2366
2002-05-01,18.2397
2002-06-01,17.5083
2002-07-01,18.096
2002-08-01,17.793
2002-09-01,17.166
2002-10-01,18.1118
2002-11-01,18.1348
2002-12-01,19.1301
2003-01-01,19.235
2003-02-01,17.2456
2003-03-01,18.4135
2003-04-01,17.4468
2003-05-01,17.5597
2003-06-01,16.8482
2003-07-01,17.3844
2003-08-01,17.5883
2003-09-01,16.9053
2003-10-01,17.792
2003-11-01,17.72
2003-12-01,19.144
2004-01-01,19.2439
2004-02-01,17.7823
2004-03-01,18.3332
2004-04-01,17.8475
2004-05-01,18.0935
2004-06-01,17.1657
2004-07-01,17.8783
2004-08-01,17.6412
2004-09-01,16.9067
2004-10-01,17.8268
2004-11-01,17.8322
2004-12-01,19.4526
2005-01-01,19.5284
2005-02-01,16.9441
